,name,url,position,score,hometown,offers,state
0,Bryce Young,https://247sports.com/player/bryce-young-93127,DUAL ,0.9969," Mater Dei (Santa Ana, CA)                    ","['Alabama', 'USC', 'Arizona State', 'Auburn', 'Baylor', 'Colorado', 'Georgia', 'Hawaii', 'Louisville', 'Miami', 'Mississippi State', 'Nebraska', 'Ohio State', 'Oklahoma', 'Ole Miss', 'Oregon', 'Oregon State', 'Penn State', 'San Jose State', 'TCU', 'Tennessee', 'Texas', 'Texas Tech', 'UCLA', 'Utah', 'Utah State', 'Washington', 'Washington State', 'Arkansas']",CA
1,Chris Braswell,https://247sports.com/player/chris-braswell-46049102,WDE ,0.9921," St. Frances Academy (Baltimore, MD)                    ","['Alabama', 'Clemson', 'LSU', 'Duke', 'Florida', 'Georgia', 'Maryland', 'Michigan', 'Navy', 'Nebraska', 'North Carolina', 'Notre Dame', 'Ohio State', 'Oklahoma', 'Penn State', 'South Carolina', 'Syracuse', 'Tennessee', 'Texas A&M', 'Vanderbilt', 'Virginia Tech', 'Wake Forest', 'West Virginia', 'Wisconsin']",MD
2,Drew Sanders,https://247sports.com/player/drew-sanders-45572383,ATH ,0.9909," Ryan (Denton, TX)                    ","['Alabama', 'LSU', 'Oklahoma', 'Arizona State', 'Arkansas', 'Baylor', 'Georgia', 'Houston', 'Notre Dame', 'Oklahoma State', 'Oregon', 'Penn State', 'Stanford', 'TCU', 'Texas', 'Texas A&M', 'Tulsa', 'USC', 'Utah', 'Washington']",TX
3,Demouy Kennedy,https://247sports.com/player/demouy-kennedy-46054124,ILB ,0.982," Theodore (Theodore, AL)                    ","['Alabama', 'LSU', 'Auburn', 'Bowling Green', 'Florida Atlantic', 'Florida State', 'Georgia', 'Georgia Tech', 'Kansas', 'Kentucky', 'Louisville', 'Mississippi State', 'Ole Miss', 'Southern Miss', 'TCU', 'Tennessee', 'Texas A&M', 'Memphis']",AL
4,Quandarrius Robinson,https://247sports.com/player/quandarrius-robinson-46047696,OLB ,0.9772," Jackson-Olin (Birmingham, AL)                  ","['Alabama', 'Auburn', 'Kentucky', 'Florida', 'Georgia Tech', 'LSU', 'Memphis', 'Mississippi State', 'Nebraska', 'Ole Miss', 'Oregon', 'South Carolina', 'Tennessee', 'Virginia Tech', 'Clemson']",AL
5,Brian Branch,https://247sports.com/player/brian-branch-46055160,S ,0.9723," Sandy Creek (Tyrone, GA)                  ","['Alabama', 'Georgia', 'Georgia Tech', 'Oklahoma', 'Cincinnati', 'Duke', 'East Carolina', 'Florida', 'Florida State', 'Georgia State', 'Indiana', 'Jacksonville State', 'Kent State', 'Kentucky', 'Louisville', 'LSU', 'Michigan', 'Michigan State', 'Nebraska', 'Ohio State', 'South Alabama', 'South Carolina', 'Tennessee', 'Texas A&M', 'Wake Forest', 'West Virginia', 'Wisconsin', 'Coastal Carolina']",GA
6,Will Anderson,https://247sports.com/player/will-anderson-46053865,WDE ,0.9644," Dutchtown (Hampton, GA)                    ","['Alabama', 'Georgia Tech', 'Auburn', 'Boston College', 'Chattanooga', 'Cincinnati', 'Florida', 'Florida Gulf Coast', 'Florida State', 'Georgia State', 'Indiana', 'Jacksonville State', 'Kentucky', 'Louisville', 'LSU', 'Maryland', 'Memphis', 'Mercer', 'Miami', 'Michigan State', 'Missouri', 'NC State', 'Nebraska', 'Purdue', 'South Alabama', 'South Carolina', 'Southern Miss', 'Syracuse', 'Tennessee', 'UAB', 'UCF', 'USF', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'West Virginia', 'Western Carolina', 'Western Kentucky', 'Wisconsin']",GA
7,Timothy Smith,https://247sports.com/player/timothy-smith-46050501,DT ,0.9613," Sebastian River (Sebastian, FL)                  ","['Alabama', 'Florida', 'Clemson', 'FIU', 'Florida Atlantic', 'Florida State', 'Georgia', 'Indiana', 'Kansas', 'Louisville', 'Maryland', 'Miami', 'Middle Tennessee State', 'NC State', 'Nebraska', 'Ole Miss', 'Oregon', 'Pittsburgh', 'Purdue', 'South Carolina', 'UCF']",FL
8,Roydell Williams,https://247sports.com/player/roydell-williams-46050297,RB ,0.9613," Hueytown  (Hueytown, AL)                    ","['Alabama', 'Kentucky', 'Auburn', 'Florida', 'Florida State', 'Georgia Tech', 'Memphis', 'Mississippi State', 'Oklahoma State', 'Ole Miss', 'Southern Miss', 'Tennessee', 'Clemson']",AL
9,Thaiu Jones-Bell,https://247sports.com/player/thaiu-jones-bell-46047033,WR ,0.9542," Miami Carol City (Opa Locka, FL)                    ","['Alabama', 'FIU', 'Florida', 'Florida Atlantic', 'Florida State', 'Georgia', 'Kentucky', 'Louisville', 'LSU', 'Marshall', 'Maryland', 'Miami', 'Oregon', 'Penn State', 'Pittsburgh', 'Southern Miss', 'Syracuse', 'Tennessee', 'Texas Tech', 'UAB', 'UCF']",FL
