,name,url,position,score,hometown,offers,state
0,Jordan Banks,https://247sports.com/player/jordan-banks-46051934,OLB ,0.9163," Narbonne (Harbor City, CA)                    ","['Arizona State', 'Oklahoma', 'USC', 'Alabama', 'Auburn', 'Colorado', 'Florida', 'LSU', 'Ohio State', 'Oregon', 'Penn State', 'San Jose State', 'Tennessee', 'Texas A&M', 'Utah', 'Washington']",CA
1,DeaMonte Trayanum,https://247sports.com/player/deamonte-trayanum-46050397,RB ,0.9019," Archbishop Hoban (Akron, OH)                    ","['Arizona State', 'Ohio State', 'Penn State', 'Wisconsin', 'Boston College', 'Florida', 'LSU', 'Michigan', 'Notre Dame', 'Purdue', 'Rutgers', 'Stanford', 'Toledo', 'Vanderbilt', 'Virginia', 'West Virginia', 'Alabama', 'Clemson']",OH
2,Chad Johnson Jr.,https://247sports.com/player/chad-johnson-jr-46050061,WR ,0.8917," Cathedral (Los Angeles, CA)    ","['Arizona State', 'Florida Atlantic', 'Oregon State', 'Stanford', 'USC', 'Washington']",CA
3,Omarr Norman-Lott,https://247sports.com/player/omarr-norman-lott-46080723,DT ,0.8904," Grant Union (Sacramento, CA)                 ","['Arizona State', 'Arizona', 'Boise State', 'Colorado', 'Colorado State', 'Kansas', 'Kansas State', 'Oregon State', 'TCU', 'Texas A&M', 'USC', 'UCLA']",CA
4,Joe Moore,https://247sports.com/player/joe-moore-46053584,SDE ,0.8858," Cardinal Ritter College Prep (Saint Louis, MO)    ","['Arizona State', 'Minnesota', 'North Carolina', 'Arizona', 'Ball State', 'Bowling Green', 'California', 'Cincinnati', 'Illinois', 'Indiana', 'Iowa', 'Iowa State', 'Kansas', 'Kansas State', 'Kent State', 'Louisville', 'Memphis', 'Missouri', 'Nebraska', 'Oregon', 'Purdue', 'Rutgers', 'San Diego State', 'Southern Miss', 'Toledo', 'West Virginia', 'Western Michigan', 'Wisconsin']",MO
5,DJ Taylor,https://247sports.com/player/dj-taylor-46077154,CB ,0.8715," Tampa Catholic (Tampa, FL)                  ","['Arizona State', 'Louisville', 'Appalachian State', 'Bowling Green', 'Buffalo', 'Cincinnati', 'Colorado State', 'Duke', 'East Carolina', 'FIU', 'Illinois', 'Iowa State', 'Kansas State', 'Kent State', 'Liberty', 'Marshall', 'Michigan State', 'Nebraska', 'North Carolina', 'Old Dominion', 'Pittsburgh', 'Rutgers', 'South Carolina', 'Southern Miss', 'Syracuse', 'Temple', 'Tennessee State', 'Toledo', 'Troy', 'Tulane', 'UCF', 'USF', 'Wake Forest', 'West Virginia', 'Western Michigan']",FL
6,Caleb McCullough,https://247sports.com/player/caleb-mccullough-46079855,ILB ,0.868," Pacifica (Oxnard, CA)                    ","['Arizona State', 'Boise State', 'Nebraska', 'Arizona', 'California', 'Colorado State', 'Fresno State', 'Hawaii', 'Kansas', 'Oregon', 'Pennsylvania', 'Princeton', 'San Diego State', 'UCLA', 'UNLV', 'USC', 'Utah', 'Utah State', 'Washington State', 'Yale']",CA
7,T Lee,https://247sports.com/player/t-lee-46040524,ATH ,0.8633," Buford (Buford, GA)                    ","['Arizona State', 'North Carolina', 'Alabama', 'Louisville', 'Maryland', 'Miami', 'Michigan State', 'Missouri', 'NC State', 'Notre Dame', 'Oregon', 'Texas', 'Troy', 'Vanderbilt', 'Arizona', 'Boston College', 'Charlotte', 'Cincinnati', 'FIU', 'Georgia State', 'Kentucky', 'Marshall', 'Nebraska', 'Pittsburgh', 'Southern Miss', 'Syracuse', 'Temple', 'Tennessee', 'UCF', 'Virginia', 'Virginia Tech']",GA
8,Macen Williams,https://247sports.com/player/macen-williams-46037867,CB ,0.8633," Narbonne (Harbor City, CA)    ","['Arizona State', 'Hawaii', 'Louisville', 'Nevada', 'Oregon', 'Rutgers', 'South Carolina', 'Tennessee', 'Florida', 'LSU', 'USC', 'Washington']",CA
9,Edward Woods,https://247sports.com/player/edward-woods-46079118,CB ,0.8586," McClymonds (Oakland, CA)    ","['Arizona State', 'Arizona', 'Washington State', 'Colorado State', 'Fresno State', 'Hawaii', 'Nevada', 'New Mexico', 'New Mexico State', 'Sacramento State', 'San Diego State', 'San Jose State', 'Tulane', 'USC', 'Wyoming', 'Youngstown State']",CA
10,Will Shaffer,https://247sports.com/player/will-shaffer-46058617,ILB ,0.8564," Saguaro (Scottsdale, AZ)    ","['Arizona State', 'Air Force', 'Memphis', 'Northern Arizona', 'Texas State', 'UTEP', 'Arizona', 'Hawaii', 'Iowa State', 'Nebraska', 'UNLV']",AZ
11,Ben Bray,https://247sports.com/player/ben-bray-46081381,OT ,0.8505," Red Mountain (Mesa, AZ)                    ","['Arizona State', 'Air Force', 'Arizona', 'Boise State', 'California', 'Colgate', 'Columbia', 'Harvard', 'New Mexico State', 'Northern Arizona', 'Oregon State', 'San Diego State', 'UC Davis', 'Utah State', 'Yale', 'Colorado State']",AZ
12,Jacob Nunez,https://247sports.com/player/jacob-nunez-46053380,OG ,0.8309," Lompoc (Lompoc, CA)                    ","['Arizona State', 'Dartmouth', 'Hawaii', 'Nevada', 'New Mexico', 'Oregon State', 'San Jose State', 'UNLV', 'USC', 'Utah', 'Washington State']",CA
13,Ryan Morgan,https://247sports.com/player/ryan-morgan-46085738,WR ,0.8141," Lompoc (Lompoc, CA)    ","['Arizona State', 'Wyoming', 'UNLV']",CA
