,name,url,position,score,hometown,offers,state
0,Tank Bigsby,https://247sports.com/player/tank-bigsby-46039679,RB ,0.9838," Callaway (Hogansville, GA)                    ","['Auburn', 'LSU', 'South Carolina', 'Alabama', 'Arkansas', 'Cincinnati', 'Clemson', 'Florida', 'Florida State', 'Georgia', 'Georgia Tech', 'Kentucky', 'Louisville', 'Maryland', 'Miami', 'Michigan', 'Michigan State', 'Minnesota', 'Mississippi State', 'NC State', 'Nebraska', 'North Carolina', 'Notre Dame', 'Ohio State', 'Ole Miss', 'Oregon', 'Pittsburgh', 'Purdue', 'Southern Miss', 'Temple', 'Tennessee', 'USC', 'Virginia Tech', 'West Virginia']",GA
1,Kobe Hudson,https://247sports.com/player/kobe-hudson-46037859,WR ,0.9572," Troup County (Lagrange, GA)                    ","['Auburn', 'Alabama', 'Appalachian State', 'Arkansas', 'Clemson', 'Florida', 'Florida State', 'Georgia', 'Georgia Southern', 'Georgia Tech', 'Kentucky', 'Louisville', 'LSU', 'Miami', 'Michigan', 'Michigan State', 'Mississippi State', 'NC State', 'South Carolina', 'Syracuse', 'Troy', 'Vanderbilt']",GA
2,Wesley Steiner,https://247sports.com/player/wesley-steiner-46058419,ILB ,0.9569," Houston County (Warner Robins, GA)                  ","['Auburn', 'Georgia Tech', 'LSU', 'Alabama', 'Georgia Southern', 'Kentucky', 'Michigan State', 'Ole Miss', 'Stanford']",GA
3,Jay Hardy,https://247sports.com/player/jay-hardy-46058734,DT ,0.9541," McCallie School (Chattanooga, TN)                  ","['Auburn', 'Georgia Tech', 'Tennessee', 'Alabama', 'Arizona', 'Arkansas', 'Charlotte', 'Chattanooga', 'Duke', 'FIU', 'Florida', 'Georgia', 'Georgia State', 'Indiana', 'Kentucky', 'Louisville', 'LSU', 'Michigan', 'Mississippi State', 'North Carolina', 'Northwestern', 'Notre Dame', 'Ohio State', 'Oklahoma', 'Ole Miss', 'Penn State', 'South Carolina', 'Stanford', 'TCU', 'Texas A&M', 'Texas Tech', 'Tulane', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'Wake Forest', 'West Virginia', 'Western Kentucky']",TN
4,Zykeivous Walker,https://247sports.com/player/zykeivous-walker-46052973,SDE ,0.9432," Schley County (Ellaville, GA)                    ","['Auburn', 'Alabama', 'Florida', 'Georgia', 'Akron', 'Boston College', 'Chattanooga', 'Duke', 'Florida State', 'Georgia Tech', 'Kentucky', 'LSU', 'Mercer', 'Miami', 'Mississippi State', 'NC State', 'Nebraska', 'Ole Miss', 'South Carolina', 'Tennessee', 'Texas A&M', 'UCF', 'Wake Forest']",GA
5,Ze'Vian Capers,https://247sports.com/player/zevian-capers-46048383,WR ,0.9418," Denmark (Alpharetta, GA)                  ","['Auburn', 'South Carolina', 'Arkansas', 'Boston College', 'Clemson', 'Duke', 'East Carolina', 'Florida', 'Georgia Tech', 'Louisville', 'Michigan State', 'Missouri', 'North Carolina', 'Pittsburgh', 'Purdue', 'Syracuse', 'Tennessee', 'Virginia', 'Virginia Tech', 'West Virginia', 'Florida State', 'Georgia', 'NC State', 'Notre Dame', 'Ohio State', 'Vanderbilt']",GA
6,J.J. Evans,https://247sports.com/player/j-j-evans-46058728,WR ,0.9342," Montevallo (Montevallo, AL)                  ","['Auburn', 'Alabama', 'Arkansas', 'Clemson', 'Georgia', 'Georgia Tech', 'Indiana', 'Liberty', 'LSU', 'Memphis', 'Mississippi State', 'Ole Miss', 'Tennessee', 'Texas A&M', 'Troy', 'UAB', 'USC', 'Virginia', 'Virginia Tech', 'Nebraska']",AL
7,Ladarius Tennison,https://247sports.com/player/ladarius-tennison-46039703,ATH ,0.9235," Rockledge (ROCKLEDGE, FL)                    ","['Auburn', 'Miami', 'Baylor', 'Boston College', 'Clemson', 'Florida', 'Florida State', 'Georgia', 'Georgia Tech', 'Kentucky', 'Louisville', 'Michigan', 'Missouri', 'NC State', 'Nebraska', 'North Carolina', 'Ole Miss', 'Penn State', 'Rutgers', 'South Alabama', 'South Carolina', 'Texas A&M', 'Toledo', 'West Virginia']",FL
8,Chris Thompson Jr.,https://247sports.com/player/chris-thompson-jr-46041974,S ,0.9079," Duncanville (Duncanville, TX)                    ","['Auburn', 'Ohio State', 'Texas', 'USC', 'Alabama', 'Arkansas', 'Baylor', 'Clemson', 'Colorado', 'Colorado State', 'Florida', 'Florida State', 'Georgia', 'Georgia Tech', 'Grambling State', 'Illinois', 'Kansas', 'Kansas State', 'LSU', 'Miami', 'Michigan', 'Michigan State', 'Missouri', 'Nebraska', 'North Texas', 'Notre Dame', 'Oklahoma State', 'Ole Miss', 'Purdue', 'SMU', 'Stanford', 'TCU', 'Tennessee', 'Texas A&M', 'Texas Tech', 'Virginia Tech']",TX
9,Cameron Riley,https://247sports.com/player/cameron-riley-46049446,OLB ,0.898," Hillcrest (Evergreen, AL)                  ","['Auburn', 'Texas A&M', 'LSU', 'Oklahoma', 'Alabama State', 'Central Michigan', 'Duke', 'Florida Atlantic', 'Georgia Tech', 'Indiana', 'Iowa', 'Jacksonville State', 'Kansas', 'Kentucky', 'Louisiana', 'Louisville', 'Memphis', 'Middle Tennessee State', 'Mississippi State', 'Nebraska', 'Ole Miss', 'Purdue', 'Samford', 'South Alabama', 'TCU', 'Tennessee', 'Tennessee State', 'Toledo', 'Troy', 'UAB', 'UCF', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'West Virginia', 'Alabama']",AL
