,name,url,position,score,hometown,offers,state
0,Bryan Bresee,https://247sports.com/player/bryan-bresee-46038819,DT ,0.9997," Damascus (Damascus, MD)                    ","['Clemson', 'Alabama', 'Auburn', 'Boston College', 'Duke', 'Florida', 'Florida State', 'Georgia', 'Georgia Tech', 'Kentucky', 'Louisville', 'Maryland', 'Miami', 'Michigan', 'Michigan State', 'Nebraska', 'North Carolina', 'Notre Dame', 'Ohio', 'Ohio State', 'Oklahoma', 'Oregon', 'Penn State', 'Pittsburgh', 'Purdue', 'Rutgers', 'South Carolina', 'Syracuse', 'Tennessee', 'Texas A&M', 'USC', 'Virginia', 'Virginia Tech', 'West Virginia', 'Wisconsin']",MD
1,Myles Murphy,https://247sports.com/player/myles-murphy-46042886,SDE ,0.9982," Hillgrove (Powder Springs, GA)                    ","['Clemson', 'Alabama', 'Auburn', 'Florida', 'Georgia', 'Georgia Tech', 'Kentucky', 'Louisville', 'Michigan', 'Nebraska', 'Ole Miss', 'Penn State', 'South Carolina', 'Tennessee', 'Virginia Tech', 'Wisconsin', 'Arkansas', 'Oregon']",GA
2,DJ Uiagalelei,https://247sports.com/player/dj-uiagalelei-45573350,PRO ,0.9945," St. John Bosco (Bellflower, CA)                    ","['Clemson', 'Alabama', 'Arizona', 'Arizona State', 'Arkansas', 'Auburn', 'Brigham Young', 'California', 'Florida', 'Florida State', 'Fresno State', 'Georgia', 'Louisville', 'LSU', 'Michigan', 'Ohio State', 'Oklahoma', 'Ole Miss', 'Oregon', 'Oregon State', 'San Jose State', 'South Carolina', 'Tennessee', 'Texas', 'Texas A&M', 'USC', 'Utah', 'Washington', 'Washington State', 'West Virginia']",CA
3,Demarkcus Bowman,https://247sports.com/player/demarkcus-bowman-46048830,RB ,0.9924," Lakeland (Lakeland, FL)                    ","['Clemson', 'Alabama', 'Arkansas', 'Auburn', 'Florida', 'Florida State', 'Georgia', 'Miami', 'Michigan', 'Nebraska', 'North Carolina', 'Ohio State', 'Oregon', 'South Carolina', 'Syracuse', 'Tennessee', 'Texas']",FL
4,Demonte Capehart,https://247sports.com/player/demonte-capehart-46042893,DT ,0.988," IMG Academy (Bradenton, FL)                    ","['Clemson', 'Georgia', 'NC State', 'Duke', 'Florida', 'North Carolina', 'South Carolina', 'Tennessee']",FL
5,Fred Davis II,https://247sports.com/player/fred-davis-ii-46037551,CB ,0.9841," Trinity Christian Academy (Jacksonville, FL)                    ","['Clemson', 'Alabama', 'Arizona', 'Auburn', 'Colorado', 'Duke', 'FIU', 'Florida', 'Florida State', 'Georgia', 'Illinois', 'Kansas', 'Kentucky', 'Louisville', 'Maryland', 'Miami', 'Michigan', 'Michigan State', 'Mississippi State', 'Nebraska', 'North Carolina', 'Notre Dame', 'Ohio State', 'Oklahoma', 'Ole Miss', 'Oregon', 'Penn State', 'Purdue', 'Rutgers', 'South Carolina', 'Tennessee', 'Texas', 'UCF', 'USF', 'Valdosta State', 'Virginia Tech', 'Georgia Tech']",FL
6,Trenton Simpson,https://247sports.com/player/trenton-simpson-46048683,OLB ,0.9833," Mallard Creek (Charlotte, NC)                    ","['Clemson', 'Auburn', 'North Carolina', 'Charlotte', 'Colorado State', 'Duke', 'Florida', 'Georgia', 'Kent State', 'Kentucky', 'LSU', 'Miami', 'Michigan', 'NC State', 'Nebraska', 'Notre Dame', 'Oklahoma', 'Purdue', 'South Carolina', 'Tennessee', 'Virginia', 'Virginia Tech', 'Wake Forest', 'West Virginia', 'Wisconsin', 'Penn State']",NC
7,Walker Parks,https://247sports.com/player/walker-parks-46043254,OT ,0.9731," Frederick Douglass (Lexington, KY)                  ","['Clemson', 'Auburn', 'Cincinnati', 'Eastern Kentucky', 'Kentucky', 'Louisville', 'Northwestern', 'Notre Dame', 'Purdue', 'Tennessee', 'Vanderbilt', 'Virginia Tech', 'West Virginia', 'Alabama', 'Miami (OH)', 'Penn State', 'South Carolina']",KY
8,Tre Williams,https://247sports.com/player/tre-williams-46047260,DT ,0.9608," St. John's College HS (Washington, DC)                  ","['Clemson', 'Alabama', 'Arizona', 'Baylor', 'Boston College', 'Buffalo', 'Connecticut', 'Florida', 'Florida Atlantic', 'Florida State', 'Georgia', 'Iowa', 'Kentucky', 'LSU', 'Maryland', 'Michigan', 'Michigan State', 'Nebraska', 'North Carolina', 'Ohio State', 'Penn State', 'Pittsburgh', 'Rutgers', 'San Jose State', 'Syracuse', 'Tennessee', 'Texas A&M', 'Virginia', 'Virginia Tech', 'Wisconsin']",DC
9,E.J. Williams,https://247sports.com/player/e-j-williams-46049986,WR ,0.9554," Central (Phenix City, AL)                    ","['Clemson', 'Auburn', 'LSU', 'Tennessee', 'Alabama', 'Arkansas', 'Cincinnati', 'Florida', 'Florida Atlantic', 'Florida State', 'Georgia', 'Georgia Tech', 'Kentucky', 'Memphis', 'Mississippi State', 'Nebraska', 'Oklahoma', 'Ole Miss', 'Oregon', 'South Carolina', 'Texas A&M', 'Virginia', 'Virginia Tech', 'West Virginia', 'Georgia Tech']",AL
