,name,url,position,score,hometown,offers,state
0,Rashawn Williams,https://247sports.com/player/rashawn-williams-93980,WR ,0.893," Martin Luther King (Detroit, MI)    ","['Indiana', 'Boston College', 'Bowling Green', 'Central Michigan', 'Cincinnati', 'Eastern Michigan', 'Kansas State', 'Kentucky', 'LSU', 'Maryland', 'Michigan', 'Michigan State', 'Minnesota', 'Missouri', 'Morgan State', 'Norfolk State', 'Ohio State', 'Old Dominion', 'Ole Miss', 'Pittsburgh', 'Purdue', 'Syracuse', 'Temple', 'Toledo', 'West Virginia', 'Western Michigan']",MI
1,Tim Baldwin,https://247sports.com/player/tim-baldwin-46049635,RB ,0.8689," Patriot (Nokesville, VA)    ","['Indiana', 'Michigan', 'Boston College', 'Charlotte', 'Georgia Tech', 'Howard', 'James Madison', 'Maryland', 'Northwestern', 'Old Dominion', 'Pittsburgh', 'Rutgers', 'South Carolina', 'Syracuse', 'Vanderbilt', 'Virginia', 'West Virginia', 'Clemson', 'Ohio State', 'Penn State', 'Virginia Tech', 'Wake Forest']",VA
2,Damarjhe Lewis,https://247sports.com/player/damarjhe-lewis-46049619,DT ,0.8668," Griffin (Griffin, GA)    ","['Indiana', 'Auburn', 'Boston College', 'Florida State', 'Georgia Tech', 'Maryland', 'Miami', 'Ole Miss', 'Penn State', 'Tennessee', 'USF', 'West Virginia', 'Western Kentucky', 'Florida']",GA
3,Jalen Williams,https://247sports.com/player/jalen-williams-46081808,TE ,0.8593," Apopka (Apopka, FL)    ","['Indiana', 'Maryland', 'FIU', 'Florida Atlantic', 'Iowa State', 'Liberty', 'Pittsburgh', 'Rutgers', 'Syracuse', 'Tennessee', 'Troy', 'UCF', 'Virginia', 'Western Kentucky', 'Miami']",FL
4,Caleb Murphy,https://247sports.com/player/caleb-murphy-46080444,WDE ,0.8559," West Washington (Campbellsburg, IN)    ","['Indiana', 'Air Force', 'Ball State', 'Bowling Green', 'Central Michigan', 'Columbia', 'Dartmouth', 'Eastern Kentucky', 'Eastern Michigan', 'Harvard', 'Indiana State', 'Kent State', 'Northern Illinois', 'Ohio', 'Toledo', 'Western Illinois', 'Iowa']",IN
5,Bryson Bonds,https://247sports.com/player/bryson-bonds-46038006,S ,0.8552," Crowley (Crowley, TX)    ","['Indiana', 'Abilene Christian', 'Air Force', 'Army', 'Columbia', 'Cornell', 'Fordham', 'Harvard', 'Illinois State', 'Kansas', 'Lehigh', 'Liberty', 'Louisiana', 'Louisiana Tech', 'Louisiana-Monroe', 'McNeese State', 'Minnesota', 'Navy', 'New Mexico State', 'Pennsylvania', 'Princeton', 'Texas Tech', 'Utah State', 'UTEP', 'Wyoming', 'Yale']",TX
6,Lemuel Neely-Watley,https://247sports.com/player/lemuel-neely-watley-46048513,CB ,0.8539," Harper Woods (Harper Woods, MI)    ","['Indiana', 'Central Michigan', 'Cincinnati', 'Iowa State', 'Kentucky', 'Michigan State', 'Morgan State', 'Syracuse', 'Western Michigan']",MI
7,David Baker,https://247sports.com/player/david-baker-46055797,WR ,0.8538," Scecina Memorial (Indianapolis, IN)    ","['Indiana', 'Ball State', 'Cincinnati', 'Duke', 'Iowa', 'Michigan', 'Purdue', 'Washington State', 'Western Illinois', 'Western Michigan', 'Louisville', 'Michigan State', 'Northwestern', 'Notre Dame', 'Ohio State']",IN
8,Christopher Keys,https://247sports.com/player/christopher-keys-46085400,CB ,0.8535," Collins (Collins, MS)    ","['Indiana', 'Jackson State', 'Louisiana-Monroe', 'Ole Miss', 'South Alabama']",MS
9,AJ Barner,https://247sports.com/player/aj-barner-46085166,TE ,0.8468," Aurora (Aurora, OH)    ","['Indiana', 'Ohio', 'Akron', 'Ball State', 'Eastern Kentucky', 'Eastern Michigan', 'Kent State', 'Michigan State', 'Youngstown State', 'Cincinnati']",OH
