,name,url,position,score,hometown,offers,state
0,Arik Gilbert,https://247sports.com/player/arik-gilbert-94709,TE ,0.9956," Marietta (Marietta, GA)                    ","['LSU', 'Alabama', 'Georgia', 'Texas A&M', 'Auburn', 'Clemson', 'Duke', 'Florida', 'Florida State', 'Georgia Southern', 'Illinois', 'Kentucky', 'Louisville', 'Miami', 'Michigan', 'NC State', 'North Carolina', 'Notre Dame', 'Ohio State', 'Oklahoma', 'Ole Miss', 'Penn State', 'Rutgers', 'South Carolina', 'Tennessee', 'USC', 'Arkansas']",GA
1,Elias Ricks,https://247sports.com/player/elias-ricks-46042180,CB ,0.9952," IMG Academy (Bradenton, FL)                    ","['LSU', 'Alabama', 'Georgia', 'Ohio State', 'USC', 'Arizona', 'Arizona State', 'Auburn', 'Boise State', 'California', 'Clemson', 'Colorado', 'Florida', 'Florida State', 'Louisville', 'Miami', 'Michigan', 'Nebraska', 'Notre Dame', 'Oklahoma', 'Ole Miss', 'Oregon', 'Oregon State', 'Penn State', 'San Jose State', 'Tennessee', 'Texas', 'Texas A&M', 'Utah', 'Washington']",FL
2,Rakim Jarrett,https://247sports.com/player/rakim-jarrett-46039172,WR ,0.991," St. John's College HS (Washington, DC)    ","['LSU', 'Alabama', 'Tennessee', 'Maryland', 'Arizona', 'Auburn', 'Boston College', 'Clemson', 'Florida', 'Florida State', 'Georgia', 'Illinois', 'Indiana', 'Kentucky', 'Miami', 'Michigan', 'Michigan State', 'Nebraska', 'Ohio State', 'Ole Miss', 'Penn State', 'Pittsburgh', 'South Carolina', 'Syracuse', 'Temple', 'Texas A&M', 'USC', 'Virginia', 'Virginia Tech', 'West Virginia', 'Wisconsin', 'Arkansas']",DC
3,Kayshon Boutte,https://247sports.com/player/kayshon-boutte-46047097,WR ,0.9795," Westgate (New Iberia, LA)    ","['LSU', 'Alabama', 'Arkansas', 'Colorado', 'Kansas', 'Ole Miss', 'Tennessee', 'West Virginia']",LA
4,Jaquelin Roy,https://247sports.com/player/jaquelin-roy-46050000,DT ,0.9764," University Lab (Baton Rouge, LA)    ","['LSU', 'Texas A&M', 'Alabama', 'Arizona', 'Arkansas', 'Auburn', 'Colorado', 'Florida', 'Florida State', 'Georgia', 'Kansas', 'Kentucky', 'Louisiana', 'Louisiana Tech', 'Miami', 'Mississippi State', 'Missouri', 'Oklahoma', 'Ole Miss', 'Oregon', 'South Carolina', 'Tennessee', 'Texas', 'Tulane', 'Virginia']",LA
5,Jermaine Burton,https://247sports.com/player/jermaine-burton-46039009,WR ,0.9749," Calabasas (Calabasas, CA)    ","['LSU', 'Arizona State', 'Oregon', 'Miami', 'Alabama', 'Arkansas', 'Auburn', 'Colorado', 'Florida', 'Georgia', 'Georgia Tech', 'Kentucky', 'Louisville', 'Mississippi State', 'Penn State', 'South Carolina', 'Syracuse', 'Tennessee', 'UCLA', 'USC']",CA
6,Antoine Sampah,https://247sports.com/player/antoine-sampah-46040680,ILB ,0.9695," Woodbridge (Woodbridge, VA)    ","['LSU', 'Alabama', 'Cincinnati', 'Clemson', 'East Carolina', 'Florida', 'Florida State', 'Louisville', 'Maryland', 'Miami', 'Michigan State', 'Nebraska', 'North Carolina', 'Ohio State', 'Oklahoma', 'Old Dominion', 'Oregon', 'Penn State', 'Temple', 'Tennessee', 'Texas A&M', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'West Virginia', 'Wisconsin']",VA
7,Jordan Toles,https://247sports.com/player/jordan-toles-46050292,S ,0.9589," St. Frances Academy (Baltimore, MD)    ","['LSU', 'Iowa', 'Maryland', 'Michigan', 'Penn State', 'Pittsburgh', ""St. John's"", 'Syracuse', 'Virginia Tech', 'West Virginia', 'Ohio State']",MD
8,BJ Ojulari,https://247sports.com/player/bj-ojulari-46040436,WDE ,0.941," Marietta (Marietta, GA)                    ","['LSU', 'Tennessee', 'Alabama', 'Auburn', 'Clemson', 'Florida', 'Georgia', 'Georgia Tech', 'Kentucky', 'Michigan', 'NC State', 'Nebraska', 'Oklahoma', 'Ole Miss', 'Stanford', 'Syracuse', 'TCU', 'Virginia Tech']",GA
9,Demon Clowney,https://247sports.com/player/demon-clowney-94681,WDE ,0.94," St. Frances Academy (Baltimore, MD)    ","['LSU', 'Clemson', 'Georgia', 'Maryland', 'Michigan', 'North Carolina', 'Penn State', 'Pittsburgh', 'Tennessee', 'Texas A&M', 'South Carolina', 'Wisconsin']",MD
