,name,url,position,score,hometown,offers,state
0,A.J. Henning,https://247sports.com/player/a-j-henning-46047161,WR ,0.958," Lincoln-Way East (Frankfort, IL)                  ","['Michigan', 'Georgia', 'Notre Dame', 'Penn State', 'Alabama', 'Boston College', 'Central Michigan', 'Cincinnati', 'Duke', 'Illinois', 'Indiana', 'Iowa', 'Louisville', 'LSU', 'Miami', 'Miami (OH)', 'Michigan State', 'Minnesota', 'Missouri', 'Nebraska', 'Northwestern', 'Ohio State', 'Purdue', 'Rutgers', 'Stanford', 'Syracuse', 'Tennessee', 'Western Michigan', 'Wisconsin', 'Clemson', 'Florida State', 'Georgia College']",IL
1,Braiden McGregor,https://247sports.com/player/braiden-mcgregor-46054251,SDE ,0.9496," Port Huron Northern (Port Huron, MI)                    ","['Michigan', 'Florida', 'Notre Dame', 'Akron', 'Alabama', 'California', 'Central Michigan', 'Clemson', 'Eastern Michigan', 'FIU', 'Florida State', 'Indiana', 'Iowa', 'Kentucky', 'Louisville', 'LSU', 'Miami', 'Michigan State', 'Minnesota', 'Missouri', 'Nebraska', 'North Carolina', 'Northern Illinois', 'Northwestern', 'Ohio State', 'Oregon', 'Penn State', 'Pittsburgh', 'Purdue', 'Syracuse', 'Toledo', 'Vanderbilt', 'Virginia', 'West Virginia', 'Western Michigan', 'Wisconsin']",MI
2,Blake Corum,https://247sports.com/player/blake-corum-92992,RB ,0.9458," St. Frances Academy (Baltimore, MD)                    ","['Michigan', 'Ohio State', 'Baylor', 'Boston College', 'East Carolina', 'Georgia', 'Howard', 'Kentucky', 'LSU', 'Maryland', 'Massachusetts', 'Michigan State', 'Nebraska', 'North Carolina', 'Ole Miss', 'Pittsburgh', 'Purdue', 'Rutgers', 'South Carolina', 'Temple', 'Tennessee', 'Toledo', 'USC', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'West Virginia', 'Wisconsin', 'Penn State']",MD
3,Kalel Mullings,https://247sports.com/player/kalel-mullings-46038392,OLB ,0.9315," Milton Academy (Milton, MA)                  ","['Michigan', 'Northwestern', 'Wisconsin', 'Boston College', 'Clemson', 'Colorado', 'Duke', 'Georgia Tech', 'Maryland', 'Massachusetts', 'Michigan State', 'Nebraska', 'North Carolina', 'Notre Dame', 'Ohio State', 'Penn State', 'Pittsburgh', 'Purdue', 'Rutgers', 'San Jose State', 'Stanford', 'Syracuse', 'Tennessee', 'Texas', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'Cornell', 'Georgia Tech', 'USC', 'Wake Forest']",MA
4,Jordan Morant,https://247sports.com/player/jordan-morant-46040100,S ,0.93," Bergen Catholic (Oradell, NJ)    ","['Michigan', 'Penn State', 'Texas A&M', 'USC', 'Alabama', 'Boston College', 'Clemson', 'Duke', 'Kentucky', 'LSU', 'Miami', 'Nebraska', 'North Carolina', 'Notre Dame', 'Ohio State', 'Ole Miss', 'Pittsburgh', 'Rutgers', 'Stanford', 'Syracuse', 'Tennessee', 'Texas Tech', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'Wisconsin']",NJ
5,RJ Moten,https://247sports.com/player/rj-moten-46080101,S ,0.9191," Delran (Delran, NJ)                  ","['Michigan', 'Boston College', 'Buffalo', 'Columbia', 'Duke', 'Kent State', 'Kentucky', 'Minnesota', 'Notre Dame', 'Penn State', 'Pittsburgh', 'Princeton', 'Purdue', 'Rutgers', 'Syracuse', 'Temple', 'Tulane', 'Virginia', 'Virginia Tech', 'West Virginia']",NJ
6,Andre Seldon,https://247sports.com/player/andre-seldon-93977,CB ,0.9146," Belleville (Belleville, MI)                    ","['Michigan', 'Bowling Green', 'Central Michigan', 'Iowa State', 'Kentucky', 'Maryland', 'Syracuse', 'Toledo', 'Western Michigan', 'Michigan State', 'Penn State']",MI
7,Makari Paige,https://247sports.com/player/makari-paige-46048590,S ,0.9121," West Bloomfield (West Bloomfield, MI)                  ","['Michigan', 'Kentucky', 'Ohio State', 'Penn State', 'Akron', 'Arizona', 'Arizona State', 'Boston College', 'Florida Atlantic', 'Indiana', 'Iowa', 'Maryland', 'Minnesota', 'Northern Illinois', 'Northwestern', 'Notre Dame', 'Oklahoma', 'Pittsburgh', 'Purdue', 'Rutgers', 'West Virginia', 'Western Michigan', 'Wisconsin', 'Michigan State', 'Pittsburgh']",MI
8,Zak Zinter,https://247sports.com/player/zak-zinter-46056669,OG ,0.906," Buckingham Browne & Nichols School (Cambridge, MA)                    ","['Michigan', 'Notre Dame', 'Auburn', 'Boston College', 'Dartmouth', 'Duke', 'Florida', 'Georgia Tech', 'Harvard', 'Iowa', 'Massachusetts', 'Miami', 'Michigan State', 'Nebraska', 'Northwestern', 'Ohio State', 'Oregon', 'Penn State', 'Pittsburgh', 'Princeton', 'Purdue', 'Rutgers', 'Syracuse', 'Tennessee', 'UCLA', 'Virginia', 'West Virginia', 'Yale', 'Connecticut', 'Maine', 'New Hampshire', 'Rhode Island', 'Stanford']",MA
9,Jaylen Harrell,https://247sports.com/player/jaylen-harrell-46042851,WDE ,0.9002," Berkeley Prep (Tampa, FL)    ","['Michigan', 'Alabama', 'Auburn', 'Clemson', 'Duke', 'Florida Atlantic', 'Florida State', 'Georgia', 'Georgia Southern', 'Georgia Tech', 'Kansas State', 'Kentucky', 'Louisville', 'Miami', 'Minnesota', 'Mississippi State', 'North Carolina', 'Ohio State', 'Oklahoma', 'Penn State', 'South Carolina', 'USF', 'Washington State', 'Florida', 'Tennessee', 'Vanderbilt']",FL
10,Osman Savage,https://247sports.com/player/osman-savage-46041191,OLB ,0.8983," St. Frances Academy (Baltimore, MD)                  ","['Michigan', 'Maryland', 'Massachusetts', 'Michigan State', 'Pittsburgh', 'Syracuse', 'Tennessee', 'West Virginia', 'Georgia Tech', 'NC State']",MD
11,Jeffrey Persi,https://247sports.com/player/jeffrey-persi-46058191,OT ,0.8958," J Serra Catholic (San Juan Capistrano, CA)                  ","['Michigan', 'UCLA', 'Arizona', 'Arizona State', 'Boston College', 'California', 'Colorado', 'Duke', 'Indiana', 'Kansas', 'Kansas State', 'Nebraska', 'Nevada', 'Northwestern', 'Oklahoma', 'Ole Miss', 'Oregon State', 'Pittsburgh', 'Purdue', 'TCU', 'USC', 'Utah', 'Utah State', 'Vanderbilt', 'Washington', 'Washington State', 'Stanford']",CA
12,Roman Wilson,https://247sports.com/player/roman-wilson-46043085,WR ,0.8908," St. Louis (Honolulu, HI)    ","['Michigan', 'Arizona State', 'Brigham Young', 'California', 'Colorado', 'Hawaii', 'Oregon', 'Sacramento State', 'Southern Utah', 'UCLA', 'Utah State', 'Washington', 'Wisconsin']",HI
13,Nikhai Hill-Green,https://247sports.com/player/nikhai-hill-green-46051396,OLB ,0.8884," St. Frances Academy (Baltimore, MD)                    ","['Michigan', 'Akron', 'Army', 'Ball State', 'Boston College', 'Bowling Green', 'Cincinnati', 'Duke', 'Howard', 'Indiana', 'Liberty', 'Massachusetts', 'Minnesota', 'Nebraska', 'Ohio', 'Pittsburgh', 'Purdue', 'Syracuse', 'Temple', 'Toledo', 'Vanderbilt', 'Wake Forest', 'West Virginia', 'Wisconsin', 'Maryland', 'Ohio State', 'Penn State']",MD
14,Matthew Hibner,https://247sports.com/player/matthew-hibner-46083926,TE ,0.8853," Lake Braddock (Burke, VA)                  ","['Michigan', 'Air Force', 'Arizona State', 'Army', 'Brown', 'Campbell', 'Columbia', 'Cornell', 'Dartmouth', 'Georgetown', 'Georgia Tech', 'Harvard', 'Holy Cross', 'Howard', 'James Madison', 'Kent State', 'NC State', 'Old Dominion', 'Pennsylvania', 'Pittsburgh', 'Princeton', 'Richmond', 'Rutgers', 'Vanderbilt', 'Virginia Tech', 'William & Mary', 'Yale', 'Air Force', 'Massachusetts', 'North Carolina', 'Richmond', 'Syracuse', 'Wake Forest']",VA
15,Reece Atteberry,https://247sports.com/player/reece-atteberry-46051579,OC ,0.883," Eaglecrest (Aurora, CO)                  ","['Michigan', 'Duke', 'Arizona', 'Arizona State', 'California', 'Colorado', 'Colorado State', 'Iowa', 'Kansas State', 'Miami', 'Missouri', 'Nebraska', 'Notre Dame', 'Ohio State', 'Oklahoma', 'Oklahoma State', 'Oregon', 'Penn State', 'Purdue', 'USC', 'Utah', 'Washington State', 'South Carolina']",CO
16,William Mohan,https://247sports.com/player/william-mohan-89135,ATH ,0.8816," Erasmus Hall (Brooklyn, NY)                    ","['Michigan', 'Boston College', 'Kent State', 'Massachusetts', 'Miami', 'Michigan State', 'Mississippi State', 'Ohio State', 'Penn State', 'Pittsburgh', 'Rutgers', 'Syracuse', 'Temple', 'Tennessee', 'Wisconsin', 'Oregon']",NY
17,Cornell Wheeler,https://247sports.com/player/cornell-wheeler-46048480,ILB ,0.881," West Bloomfield (West Bloomfield, MI)                  ","['Michigan', 'Ball State', 'Indiana', 'Iowa State', 'Kentucky', 'Michigan State', 'Minnesota', 'Missouri', 'Nebraska', 'Northern Illinois', 'Syracuse', 'Toledo']",MI
18,Aaron Lewis,https://247sports.com/player/aaron-lewis-46059082,SDE ,0.881," Williamstown (Williamstown, NJ)                    ","['Michigan', 'West Virginia', 'Baylor', 'Boston College', 'Duke', 'Maryland', 'Miami', 'Nebraska', 'Ohio State', 'Penn State', 'Pittsburgh', 'Purdue', 'Rutgers', 'Syracuse', 'Temple', 'Tennessee', 'Texas A&M', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'Wisconsin']",NJ
19,JD Johnson,https://247sports.com/player/jd-johnson-46056030,PRO ,0.8804," Pinnacle (Phoenix, AZ)    ","['Michigan', 'Arizona', 'Colorado State', 'Oregon', 'Oregon State', 'South Carolina', 'Texas A&M', 'UNLV']",AZ
20,Eamonn Dennis,https://247sports.com/player/eamonn-dennis-46057139,ATH ,0.8776," St John's (Shrewsbury, MA)                  ","['Michigan', 'Connecticut', 'Duke', 'Georgia Tech', 'Iowa', 'Massachusetts', 'Mississippi State', 'Ole Miss', 'Ole Miss', 'Purdue', 'Rutgers', 'Syracuse', 'Temple', 'Toledo', 'Tulane', 'Boston College', 'Holy Cross', 'Maine', 'New Hampshire', 'Notre Dame', 'Ohio State', 'Rhode Island', 'Rutgers', 'Virginia Tech', 'Wake Forest', 'Wisconsin']",MA
21,Kris Jenkins,https://247sports.com/player/kris-jenkins-46059214,SDE ,0.8776," Our Lady Good Counsel HS (Olney, MD)    ","['Michigan', 'Northwestern', 'Air Force', 'Boston College', 'Duke', 'East Carolina', 'Indiana', 'Iowa', 'Kansas', 'Kent State', 'Liberty', 'Maryland', 'Massachusetts', 'Michigan State', 'North Carolina', 'Penn State', 'Purdue', 'Rutgers', 'Syracuse', 'Temple', 'Vanderbilt', 'Virginia Tech', 'Yale']",MD
22,Micah Mazzccua,https://247sports.com/player/micah-mazzccua-46056396,OG ,0.8696," St. Frances Academy (Baltimore, MD)    ","['Michigan', 'Maryland', 'Syracuse', 'Temple', 'Virginia Tech']",MD
23,Nick Patterson,https://247sports.com/player/nick-patterson-92465,TE ,0.8592," San Antonio Christian (San Antonio, TX)    ","['Michigan', 'Georgia Tech', 'Memphis', 'Cincinnati', 'Dartmouth', 'FIU', 'Florida Atlantic', 'Nevada', 'Princeton', 'Tulane', 'UCF', 'UNLV', 'UTSA', 'Yale', 'Arkansas']",TX
24,Gaige Garcia,https://247sports.com/player/gaige-garcia-46042243,RB ,0.8173," Southern Columbia (Catawissa, PA)    ","['Michigan', 'Air Force', 'Albany', 'Army', 'Brown', 'Bryant', 'Colgate', 'Columbia', 'Cornell', 'Dartmouth', 'Elon', 'Fordham', 'Georgetown', 'Harvard', 'Holy Cross', 'Lafayette', 'Lehigh', 'Monmouth', 'Navy', 'New Hampshire', 'Pennsylvania', 'Princeton', 'Richmond', 'Robert Morris', 'Sacred Heart', 'Yale', 'Youngstown State']",PA
