,name,url,position,score,hometown,offers,state
0,Darius Snow,https://247sports.com/player/darius-snow-46047461,OLB ,0.8863," Hebron (Carrollton, TX)    ","['Michigan State', 'Arkansas', 'Alabama', 'Baylor', 'Boston College', 'Clemson', 'Colorado', 'FIU', 'Florida State', 'Georgia', 'Georgia Tech', 'LSU', 'Michigan', 'Missouri', 'Nebraska', 'Notre Dame', 'Notre Dame College', 'Oklahoma', 'Oklahoma State', 'Purdue', 'Rutgers', 'SMU', 'Stanford', 'TCU', 'Texas', 'Texas A&M', 'Texas Tech', 'Vanderbilt']",TX
1,Dallas Fincher,https://247sports.com/player/dallas-fincher-46049614,OG ,0.8809," East Kentwood (Grand Rapids, MI)    ","['Michigan State', 'Akron', 'Ball State', 'Boston College', 'Bowling Green', 'Central Michigan', 'Cincinnati', 'Indiana', 'Iowa', 'Kentucky', 'Miami', 'Michigan', 'Minnesota', 'Northern Illinois', 'Ohio State', 'Pittsburgh', 'Purdue', 'Syracuse', 'Toledo', 'West Virginia', 'Western Michigan', 'Wisconsin', 'Notre Dame', 'Penn State']",MI
2,Terry Lockett,https://247sports.com/player/terry-lockett-46050633,WR ,0.8733," Minnehaha Academy (Minneapolis, MN)    ","['Michigan State', 'Cincinnati', 'Iowa', 'Minnesota', 'Nebraska', 'Purdue', 'Rutgers', 'Ohio State', 'Stanford']",MN
3,Jordon Simmons,https://247sports.com/player/jordon-simmons-46042188,RB ,0.8709," McEachern (Powder Springs, GA)    ","['Michigan State', 'Arkansas', 'Boston College', 'Colorado', 'East Carolina', 'Florida', 'Florida State', 'Georgia', 'Kentucky', 'Louisville', 'LSU', 'Maryland', 'Michigan', 'Mississippi State', 'Nebraska', 'Ole Miss', 'Oregon', 'Pittsburgh', 'South Carolina', 'Virginia Tech', 'West Virginia', 'Clemson', 'Ohio State', 'Oklahoma State', 'Tennessee']",GA
4,Ian Stewart,https://247sports.com/player/ian-stewart-90936,WR ,0.868," Oscar A. Carlson (Rockwood, MI)    ","['Michigan State', 'Air Force', 'Akron', 'Ball State', 'Boston College', 'Bowling Green', 'Central Michigan', 'Cincinnati', 'Duke', 'Indiana', 'Kansas', 'Kentucky', 'Louisville', 'Marshall', 'Michigan', 'Minnesota', 'Morgan State', 'NC State', 'Northern Illinois', 'Ohio State', 'Penn State', 'Pittsburgh', 'Purdue', 'Seton Hill', 'Syracuse', 'Toledo', 'West Virginia', 'Western Illinois', 'Western Michigan', 'Toledo']",MI
5,Angelo Grose,https://247sports.com/player/angelo-grose-46053674,CB ,0.8664," Mansfield (Mansfield, OH)    ","['Michigan State', 'Cincinnati', 'Akron', 'Ball State', 'Bowling Green', 'Kent State', 'Miami (OH)', 'Ohio', 'Toledo', 'Youngstown State']",OH
6,Devin Hightower,https://247sports.com/player/devin-hightower-46080523,OLB ,0.8646," Archbishop Hoban (Akron, OH)    ","['Michigan State', 'Pittsburgh', 'Akron', 'Ball State', 'Bowling Green', 'Cincinnati', 'Eastern Michigan', 'Indiana', 'Iowa', 'Kent State', 'Michigan', 'Navy', 'Rutgers', 'Toledo', 'Penn State', 'Wisconsin']",OH
7,Cal Haladay,https://247sports.com/player/cal-haladay-46059528,ILB ,0.8614," Southern Columbia (Catawissa, PA)    ","['Michigan State', 'Army', 'Buffalo', 'Fordham', 'Massachusetts', 'Michigan', 'Nebraska', 'Pittsburgh', 'Youngstown State', 'Monmouth', 'Northwestern', 'Ohio State', 'Penn State', 'Syracuse']",PA
8,Ricky White,https://247sports.com/player/ricky-white-46080062,WR ,0.8614," Marietta (Marietta, GA)    ","['Michigan State', 'Akron', 'Appalachian State', 'Ball State', 'Bowling Green', 'Central Michigan', 'Charlotte', 'Cincinnati', 'Coastal Carolina', 'Colorado State', 'Connecticut', 'Georgia State', 'Georgia Tech', 'Kansas', 'Kent State', 'Louisville', 'Mercer', 'Middle Tennessee State', 'Pittsburgh', 'Rutgers', 'Syracuse', 'Toledo', 'Troy', 'UAB', 'Utah State', 'Virginia', 'Wake Forest', 'West Virginia', 'Western Carolina', 'Western Kentucky', 'Western Michigan']",GA
9,Tommy Guajardo,https://247sports.com/player/tommy-guajardo-46049882,TE ,0.8606," Dearborn (Dearborn, MI)    ","['Michigan State', 'Ball State', 'Boston College', 'Bowling Green', 'Buffalo', 'Central Michigan', 'Cincinnati', 'Colorado', 'Eastern Michigan', 'Indiana', 'Iowa State', 'Kansas State', 'Kent State', 'Massachusetts', 'Miami (OH)', 'Minnesota', 'NC State', 'Northern Illinois', 'Pittsburgh', 'Temple', 'Toledo', 'West Virginia', 'Western Michigan', 'Georgia Tech', 'Notre Dame', 'Purdue']",MI
10,Simeon Barrow Jr.,https://247sports.com/player/simeon-barrow-jr-46080670,WDE ,0.8593," Grovetown (Grovetown, GA)    ","['Michigan State', 'West Virginia', 'Virginia Tech', 'USF', 'Cincinnati', 'East Carolina', 'FIU', 'Georgia Southern', 'Georgia State', 'Liberty', 'Missouri', 'Rutgers', 'Tennessee', 'Tulane']",GA
11,Kyle King,https://247sports.com/player/kyle-king-46076572,SDE ,0.8552," New Palestine (New Palestine, IN)      ","['Michigan State', 'Air Force', 'Ball State', 'Bowling Green', 'Central Michigan', 'Illinois State', 'Indiana', 'Indiana State', 'Miami (OH)', 'Navy', 'Northern Illinois', 'Ohio', 'Purdue', 'Toledo', 'Tulane', 'Western Illinois', 'Western Michigan']",IN
12,Avery Dunn,https://247sports.com/player/avery-dunn-46094144,WDE ,0.8511," Shaker Heights (Cleveland, OH)    ","['Michigan State', 'Akron', 'Ball State', 'Eastern Kentucky', 'Fordham', 'Kent State', 'Robert Morris', 'West Virginia', 'Youngstown State']",OH
13,Montorie Foster,https://247sports.com/player/montorie-foster-46093881,WR ,0.8498," St. Edward (Lakewood, OH)    ","['Michigan State', 'Akron', 'Bowling Green', 'Kent State', 'Cincinnati', 'Iowa', 'Miami (OH)']",OH
14,Chris Mayfield,https://247sports.com/player/chris-mayfield-46050516,SDE ,0.8465," Hilliard Bradley (Hilliard, OH)    ","['Michigan State', 'Cincinnati', 'Purdue', 'Boston College', 'Bowling Green', 'Iowa State', 'Kent State', 'Kentucky', 'Louisville', 'Maryland', 'Minnesota', 'Ohio', 'Toledo', 'Youngstown State', 'Penn State', 'Wisconsin']",OH
15,Noah Kim,https://247sports.com/player/noah-kim-46054819,PRO ,0.8459," Westfield (Chantilly, VA)    ","['Michigan State', 'Virginia Tech', 'Fordham', 'Holy Cross', 'Howard', 'Sacred Heart', 'Western Michigan', 'William & Mary']",VA
16,Jeff Pietrowski,https://247sports.com/player/jeff-pietrowski-46052116,WDE ,0.8444," St. Edward (Lakewood, OH)    ","['Michigan State', 'Akron', 'Ball State', 'Boston College', 'Bowling Green', 'Buffalo', 'Cincinnati', 'Eastern Michigan', 'Kent State', 'Massachusetts', 'Miami (OH)', 'Minnesota', 'Pittsburgh', 'Purdue', 'Rutgers', 'Toledo', 'Yale', 'Youngstown State', 'Notre Dame']",OH
17,Cole DeMarzo,https://247sports.com/player/cole-demarzo-46082017,OLB ,0.8357," Hilton Head (Hilton Head Island, SC)    ","['Michigan State', 'Air Force', 'Appalachian State', 'Army', 'Cincinnati', 'Coastal Carolina', 'Eastern Kentucky', 'FIU', 'Liberty', 'Marshall', 'Michigan State', 'Toledo', 'Tulane']",SC
18,Justin Stevens,https://247sports.com/player/justin-stevens-46085514,OT ,0.8355," Clarkson Football North (Mississauga, ON)  ","['Michigan State', 'Connecticut', 'Eastern Michigan', 'Buffalo', 'Coastal Carolina', 'Fordham', 'Indiana', 'Maine', 'Massachusetts', 'Northern Illinois', 'Syracuse', 'Toledo']",ON
19,Jack Olsen,https://247sports.com/player/jack-olsen-46079551,K ,0.8309," Wheaton Warrenville South (Wheaton, IL)  ","['Michigan State', 'Army', 'Illinois State', 'Miami (OH)', 'Yale', 'Indiana']",IL
