,name,url,position,score,hometown,offers,state
0,Desmond Evans,https://247sports.com/player/desmond-evans-46035517,WDE ,0.983," Lee County (Sanford, NC)    ","['North Carolina', 'Alabama', 'Clemson', 'Duke', 'East Carolina', 'Florida', 'Kentucky', 'Michigan', 'Mississippi State', 'NC State', 'Nebraska', 'Ohio State', 'Penn State', 'South Carolina', 'Tennessee', 'Texas A&M', 'Virginia Tech', 'Wisconsin']",NC
1,Myles Murphy,https://247sports.com/player/myles-murphy-46058211,SDE ,0.9445," Dudley (Greensboro, NC)    ","['North Carolina', 'Alabama', 'Florida', 'South Carolina', 'Baylor', 'East Carolina', 'Georgia', 'Kentucky', 'LSU', 'Miami', 'Michigan', 'Mississippi State', 'NC State', 'Nebraska', 'Notre Dame', 'Ohio State', 'Oklahoma', 'Oregon', 'Syracuse', 'Tennessee', 'Texas', 'Texas A&M', 'Virginia', 'Virginia Tech', 'West Virginia', 'Western Carolina', 'Wisconsin']",NC
2,Kedrick Bingley-Jones,https://247sports.com/player/kedrick-bingley-jones-46049745,DT ,0.9363," Providence Day School (Charlotte, NC)    ","['North Carolina', 'Duke', 'Florida', 'Ohio State', 'Florida State', 'Georgia', 'Louisville', 'Maryland', 'Miami', 'Michigan', 'Mississippi State', 'NC State', 'Notre Dame', 'Ohio', 'Oklahoma', 'Oregon', 'Penn State', 'South Carolina', 'Tennessee', 'Texas A&M', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'Wake Forest', 'Charlotte', 'Georgia Tech']",NC
3,Ja'Qurious Conley,https://247sports.com/player/jaqurious-conley-46058398,S ,0.9313," Northside (Jacksonville, NC)    ","['North Carolina', 'Air Force', 'Duke', 'East Carolina', 'Georgia Tech', 'Liberty', 'Louisville', 'NC State', 'Nebraska', 'South Carolina', 'Syracuse', 'Tennessee', 'UCF', 'Virginia Tech', 'Wake Forest', 'Washington State']",NC
4,Josh Downs,https://247sports.com/player/josh-downs-94354,WR ,0.9185," North Gwinnett (Suwanee, GA)    ","['North Carolina', 'Penn State', 'Appalachian State', 'Arkansas', 'Boston College', 'Cincinnati', 'Colorado State', 'Duke', 'East Tennessee State', 'Georgia Southern', 'Georgia State', 'Georgia Tech', 'Iowa', 'Iowa State', 'Kansas State', 'Kentucky', 'Louisville', 'Michigan', 'NC State', 'Ohio State', 'Ole Miss', 'Oregon', 'Rutgers', 'South Carolina', 'Southern Miss', 'Temple', 'Tennessee', 'Tulane', 'Vanderbilt', 'West Virginia', 'Georgia', 'Maryland']",GA
5,Cameron Roseman-Sinclair,https://247sports.com/player/cameron-roseman-sinclair-46042958,S ,0.9136," Myers Park (Charlotte, NC)    ","['North Carolina', 'Kentucky', 'Maryland', 'Tennessee', 'Virginia Tech', 'West Virginia']",NC
6,Jacolby Criswell,https://247sports.com/player/jacolby-criswell-46049484,DUAL ,0.9063," Morrilton (Morrilton, AR)    ","['North Carolina', 'Arkansas', 'Auburn', 'Arkansas State', 'Central Arkansas', 'Colorado', 'Georgia', 'Houston', 'Memphis', 'Miami', 'Mississippi State', 'NC State', 'Oklahoma State', 'Ole Miss', 'Seton Hill', 'SMU', 'South Alabama', 'Alabama', 'Florida State', 'Louisville', 'Penn State', 'Tennessee']",AR
7,Ray Rose,https://247sports.com/player/ray-rose-46046344,WR ,0.8862," South Point (Belmont, NC)    ","['North Carolina', 'NC State', 'South Carolina', 'Tennessee', 'Virginia', 'Virginia Tech', 'West Virginia', 'Duke', 'Wake Forest']",NC
8,John Copenhaver,https://247sports.com/player/john-copenhaver-46059489,TE ,0.883," Roswell (Roswell, GA)    ","['North Carolina', 'Boston College', 'East Carolina', 'FIU', 'Florida', 'Georgia Tech', 'Iowa', 'Kansas', 'Kent State', 'Louisville', 'NC State', 'Purdue', 'South Carolina', 'Tennessee', 'Tulane', 'Wake Forest']",GA
9,Clyde Pinder Jr.,https://247sports.com/player/clyde-pinder-jr-46050947,DT ,0.8829," Armwood (Seffner, FL)    ","['North Carolina', 'Florida', 'Pittsburgh', 'Arizona State', 'Boston College', 'Bowling Green', 'FIU', 'Florida Atlantic', 'Georgia Southern', 'Illinois', 'Iowa State', 'Liberty', 'Louisville', 'Minnesota', 'Nebraska', 'Penn State', 'Samford', 'Southern Miss', 'Toledo', 'Tulane', 'UCF', 'USF', 'Virginia Tech', 'West Virginia', 'Appalachian State', 'Georgia State', 'Miami', 'Purdue']",FL
10,Ethan West,https://247sports.com/player/ethan-west-46043262,ILB ,0.8784," Cosby (Midlothian, VA)    ","['North Carolina', 'Boston College', 'Duke', 'Florida', 'LSU', 'Maryland', 'Michigan', 'NC State', 'Nebraska', 'Rutgers', 'Syracuse', 'Temple', 'Texas A&M', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'Wake Forest', 'Cincinnati', 'Notre Dame', 'Penn State']",VA
11,Trey Zimmerman,https://247sports.com/player/trey-zimmerman-46051906,OT ,0.8709," Roswell (Roswell, GA)    ","['North Carolina', 'Auburn', 'Boston College', 'Cincinnati', 'Duke', 'Florida State', 'Georgia Tech', 'Iowa State', 'Kentucky', 'Louisville', 'Maryland', 'Mississippi State', 'Missouri', 'Nebraska', 'Purdue', 'Toledo', 'Vanderbilt', 'Virginia', 'West Virginia']",GA
12,Kendall Karr,https://247sports.com/player/kendall-karr-46054131,TE ,0.8668," Stuart W. Cramer (Cramerton, NC)    ","['North Carolina', 'Air Force', 'Akron', 'Appalachian State', 'Auburn', 'Charlotte', 'Duke', 'East Carolina', 'Liberty', 'Louisville', 'LSU', 'Maryland', 'Massachusetts', 'NC State', 'Oregon', 'Penn State', 'Pittsburgh', 'Purdue', 'Rutgers', 'South Carolina', 'Wake Forest', 'West Virginia', 'Wisconsin']",NC
13,Cayden Baker,https://247sports.com/player/cayden-baker-46081671,OT ,0.8648," Fort Myers (Fort Myers, FL)  ","['North Carolina', 'Boston College', 'Cincinnati', 'FIU', 'Indiana', 'Louisville', 'Miami', 'Michigan', 'Middle Tennessee State', 'Pittsburgh', 'Purdue', 'Southern Miss', 'Syracuse', 'UCF', 'USF', 'Washington State', 'Kansas State']",FL
14,Jonathan Adorno,https://247sports.com/player/jonathan-adorno-46082387,OG ,0.8626," Rolesville (Rolesville, NC)    ","['North Carolina', 'Appalachian State', 'Duke', 'East Carolina', 'NC State', 'Vanderbilt', 'Virginia Tech', 'Wake Forest', 'East Carolina']",NC
15,Tylee Craft,https://247sports.com/player/tylee-craft-46083457,WR ,0.8595," Sumter (Sumter, SC)    ","['North Carolina', 'Coastal Carolina', 'Elon', 'Georgia Tech', 'South Carolina', 'Virginia']",SC
16,D.J. Jones,https://247sports.com/player/d-j-jones-46083529,RB ,0.8594," Pine Forest (Fayetteville, NC)    ","['North Carolina', 'Michigan', 'Campbell', 'Duke', 'East Carolina', 'Furman', 'Missouri', 'Vanderbilt', 'Virginia', 'Wake Forest', 'Wofford']",NC
17,Jefferson Boaz,https://247sports.com/player/jefferson-boaz-46084088,TE ,0.8572," East Surry (Pilot Mountain, NC)    ","['North Carolina', 'Appalachian State', 'Colorado', 'East Carolina', 'Eastern Kentucky', 'Louisville', 'Virginia', 'Virginia Tech', 'William & Mary']",NC
18,AJ Beatty,https://247sports.com/player/aj-beatty-46076786,SDE ,0.8558," Central Catholic (Pittsburgh, PA)    ","['North Carolina', 'Air Force', 'Akron', 'Ball State', 'Boston College', 'Bowling Green', 'Buffalo', 'Central Michigan', 'Cincinnati', 'Columbia', 'Cornell', 'Dartmouth', 'FIU', 'Florida Atlantic', 'Harvard', 'Illinois', 'Indiana', 'Kent State', 'Liberty', 'Maryland', 'Massachusetts', 'Mercer', 'Miami (OH)', 'Minnesota', 'Navy', 'NC State', 'Ohio', 'Pennsylvania', 'Pittsburgh', 'Purdue', 'Rutgers', 'South Carolina', 'Syracuse', 'Temple', 'Toledo', 'UCF', 'Virginia', 'West Virginia', 'William & Mary', 'Yale', 'Youngstown State', 'Florida', 'Michigan', 'Penn State', 'Wisconsin']",PA
19,Cedric Gray,https://247sports.com/player/cedric-gray-46056727,ATH ,0.8552," Ardrey Kell (Charlotte, NC)    ","['North Carolina', 'Akron', 'Appalachian State', 'Campbell', 'Coastal Carolina', 'Kent State', 'Liberty', 'Marshall', 'Massachusetts', 'Toledo', 'Youngstown State', 'South Carolina', 'West Virginia']",NC
