,name,url,position,score,hometown,offers,state
0,Demond Demas,https://247sports.com/player/demond-demas-46041079,WR ,0.9903," Tomball (Tomball, TX)                  ","['Texas A&M', 'Oklahoma', 'Alabama', 'Arkansas', 'Auburn', 'Baylor', 'Brigham Young', 'Clemson', 'Florida', 'Florida State', 'Georgia', 'Georgia State', 'Houston', 'Illinois', 'Incarnate Word', 'Indiana', 'Iowa', 'Iowa State', 'Kansas', 'Kentucky', 'Louisiana', 'Louisiana Tech', 'LSU', 'Miami', 'Michigan', 'Michigan State', 'Mississippi State', 'Missouri', 'NC State', 'Nebraska', 'North Carolina', 'Notre Dame', 'Ohio State', 'Ole Miss', 'Oregon', 'Penn State', 'Prairie View A&M', 'Purdue', 'SMU', 'South Carolina', 'TCU', 'Temple', 'Tennessee', 'Texas', 'Texas Tech', 'UAB', 'UCF', 'USC', 'USF', 'Utah', 'UTSA', 'Vanderbilt', 'Wake Forest', 'Washington', 'West Virginia', 'Wisconsin', 'Wyoming']",TX
1,Jaylon Jones,https://247sports.com/player/jaylon-jones-46051979,S ,0.9832," Steele (Cibolo, TX)                    ","['Texas A&M', 'Alabama', 'Arkansas', 'Baylor', 'Colorado', 'Florida', 'Georgia', 'Houston', 'Ohio State', 'Oklahoma State', 'Purdue', 'TCU', 'Texas', 'Texas State', 'USC', 'USC']",TX
2,Donell Harris,https://247sports.com/player/donell-harris-46048344,WDE ,0.9741," Gulliver Prep (Miami, FL)                  ","['Texas A&M', 'Florida', 'Miami', 'Alabama', 'Auburn', 'Baylor', 'Clemson', 'FIU', 'Florida State', 'Georgia', 'Georgia Tech', 'Kentucky', 'Louisville', 'LSU', 'Michigan', 'NC State', 'Nebraska', 'Penn State', 'South Carolina', 'Syracuse', 'Temple', 'Toledo', 'UCF', 'Virginia Tech', 'Ohio State']",FL
3,Haynes King,https://247sports.com/player/haynes-king-46049892,DUAL ,0.9661," Longview (Longview, TX)                    ","['Texas A&M', 'Auburn', 'Duke', 'Tennessee', 'Arkansas', 'Baylor', 'Houston', 'Illinois', 'Kansas', 'Louisiana Tech', 'Louisiana-Monroe', 'LSU', 'Memphis', 'Miami', 'Minnesota', 'Missouri', 'North Texas', 'Oklahoma State', 'Ole Miss', 'Oregon', 'Purdue', 'Southern Miss', 'Stephen F. Austin', 'TCU', 'Texas State', 'Tulsa', 'UCLA', 'Virginia Tech']",TX
4,Chris Morris,https://247sports.com/player/chris-morris-46047611,OG ,0.9526," West Memphis (West Memphis, AR)                    ","['Texas A&M', 'Ole Miss', 'Tennessee', 'Alabama', 'Arkansas', 'Auburn', 'East Carolina', 'Eastern Kentucky', 'Eastern Michigan', 'Florida', 'Florida Atlantic', 'Florida State', 'Georgia', 'Georgia Southern', 'Illinois', 'Indiana', 'Iowa State', 'Louisville', 'LSU', 'Marshall', 'Maryland', 'Memphis', 'Miami', 'Mississippi State', 'NC State', 'Ohio State', 'Oklahoma', 'Oregon', 'Penn State', 'Rutgers', 'South Carolina', 'Texas', 'Toledo', 'Troy', 'USC', 'Baylor']",AR
5,Antonio Johnson,https://247sports.com/player/antonio-johnson-46051895,S ,0.9447," East St. Louis (East Saint Louis, IL)                    ","['Texas A&M', 'Tennessee', 'Alabama', 'Georgia', 'Illinois', 'Indiana', 'Iowa', 'Iowa State', 'Kentucky', 'Louisville', 'LSU', 'Michigan', 'Michigan State', 'Mississippi State', 'Missouri', 'Nebraska', 'Ole Miss', 'Penn State', 'Pittsburgh', 'Purdue', 'Toledo', 'Virginia', 'Virginia Tech', 'Western Michigan', 'Wisconsin']",IL
6,Fadil Diggs,https://247sports.com/player/fadil-diggs-46046852,WDE ,0.9349," Woodrow Wilson (Camden, NJ)                    ","['Texas A&M', 'Florida', 'Maryland', 'Penn State', 'Arkansas', 'Baylor', 'Boston College', 'Cincinnati', 'Georgia', 'Georgia Tech', 'Iowa', 'Kent State', 'Kentucky', 'Louisville', 'LSU', 'Massachusetts', 'Michigan', 'Michigan State', 'NC State', 'Nebraska', 'North Carolina', 'Notre Dame', 'Ohio State', 'Old Dominion', 'Pittsburgh', 'Purdue', 'Rutgers', 'South Carolina', 'Temple', 'Tennessee', 'Virginia', 'Virginia Tech', 'West Virginia', 'Western Michigan']",NJ
7,Muhsin Muhammad III,https://247sports.com/player/muhsin-muhammad-iii-46038891,WR ,0.9337," Myers Park (Charlotte, NC)                    ","['Texas A&M', 'Alabama', 'Appalachian State', 'Arizona State', 'Auburn', 'Boston College', 'Colorado', 'Florida', 'Georgia Tech', 'Illinois', 'Indiana', 'Kentucky', 'Liberty', 'Louisville', 'Michigan State', 'Missouri', 'NC State', 'Nebraska', 'North Carolina', 'Ohio State', 'Oregon', 'Purdue', 'Syracuse', 'Temple', 'Tennessee', 'UCF', 'Vanderbilt', 'Virginia Tech', 'Wake Forest', 'West Virginia', 'Wisconsin']",NC
8,Devon Achane,https://247sports.com/player/devon-achane-46049139,APB ,0.9175," Fort Bend Marshall (Missouri City, TX)                  ","['Texas A&M', 'North Carolina', 'Alabama', 'Arkansas', 'Auburn', 'Florida State', 'Georgia', 'Houston', 'Illinois', 'Kansas', 'LSU', 'Ole Miss', 'SMU', 'Syracuse', 'TCU', 'Tennessee', 'Texas', 'Texas Tech', 'Tulane', 'USC']",TX
9,Akinola Ogunbiyi,https://247sports.com/player/akinola-ogunbiyi-46051490,OG ,0.9139," Kempner (Sugar Land, TX)                  ","['Texas A&M', 'Georgia', 'Oklahoma', 'Alabama', 'Arkansas', 'Baylor', 'Boston College', 'Colorado', 'LSU', 'Michigan', 'Missouri', 'Nebraska', 'Ohio State', 'Ole Miss', 'TCU', 'Tennessee', 'Texas', 'Texas State', 'Virginia Tech']",TX
10,Joshuah Moten,https://247sports.com/player/joshuah-moten-46041296,CB ,0.8909," National Christian Academy (Fort Washington, MD)                    ","['Texas A&M', 'Nebraska', 'Penn State', 'Arkansas', 'Baylor', 'Boston College', 'East Carolina', 'Indiana', 'Kentucky', 'Maryland', 'Massachusetts', 'Memphis', 'Michigan', 'North Carolina', 'Oklahoma', 'Oregon', 'Pittsburgh', 'Rutgers', 'South Carolina', 'Syracuse', 'Temple', 'Virginia', 'Virginia Tech', 'Wake Forest', 'West Virginia', 'Wisconsin']",MD
11,Isaiah Raikes,https://247sports.com/player/isaiah-raikes-46051970,DT ,0.8881," St. Augustine Prep (Richland, NJ)                    ","['Texas A&M', 'Northwestern', 'Penn State', 'Baylor', 'Boston College', 'Cincinnati', 'Duke', 'Kent State', 'Louisville', 'Maryland', 'Massachusetts', 'Minnesota', 'Pittsburgh', 'Rutgers', 'Temple', 'Vanderbilt', 'Virginia Tech', 'Wake Forest', 'West Virginia', 'Yale']",NJ
12,Devin Price,https://247sports.com/player/devin-price-46049177,WR ,0.8817," A&M Consolidated (College Station, TX)                    ","['Texas A&M', 'Akron', 'Arizona', 'Boston College', 'Kansas', 'Minnesota', 'North Carolina', 'North Texas', 'Southern Miss', 'Syracuse', 'Texas Tech', 'Toledo', 'Utah', 'UTSA', 'Vanderbilt']",TX
13,Dallas Walker,https://247sports.com/player/dallas-walker-46037432,DT ,0.8795," Smyrna (Smyrna, TN)                  ","['Texas A&M', 'Auburn', 'Kentucky', 'Arkansas', 'Cincinnati', 'Georgia', 'Georgia Tech', 'Indiana', 'Louisville', 'Memphis', 'Missouri', 'Oklahoma', 'Ole Miss', 'Penn State', 'Purdue', 'Tennessee', 'Virginia Tech']",TN
14,Blake Smith,https://247sports.com/player/blake-smith-46080137,TE ,0.8721," Southlake Carroll (Southlake, TX)                    ","['Texas A&M', 'Alabama', 'Baylor', 'Boston College', 'California', 'Colorado', 'Connecticut', 'FIU', 'Florida State', 'Houston', 'Iowa State', 'Kansas State', 'Liberty', 'Louisiana', 'Louisiana-Monroe', 'LSU', 'Marshall', 'Miami', 'Michigan', 'Minnesota', 'NC State', 'Nebraska', 'Northwestern', 'Ohio State', 'Oklahoma State', 'Rutgers', 'South Carolina', 'TCU', 'UCF', 'Utah', 'Vanderbilt', 'Virginia', 'Washington']",TX
15,Josh Bankhead,https://247sports.com/player/josh-bankhead-46053688,OG ,0.8709," College Park (The Woodlands, TX)                    ",['Texas A&M'],TX
16,Smart Chibuzo,https://247sports.com/player/smart-chibuzo-46055720,OG ,0.8696," Hightower (Missouri City, TX)                  ","['Texas A&M', 'Alabama', 'Baylor', 'Colorado', 'Florida', 'Georgia', 'Georgia Tech', 'Georgia Tech', 'Grambling State', 'Houston', 'LSU', 'Nebraska', 'Oklahoma State', 'Ole Miss', 'Syracuse', 'TCU', 'Texas', 'Texas State', 'USC', 'Vanderbilt', 'Virginia Tech']",TX
17,Deondre Jackson,https://247sports.com/player/deondre-jackson-46040540,RB ,0.8593," Stephenson (Stone Mountain, GA)                  ","['Texas A&M', 'Auburn', 'Alabama', 'Coastal Carolina', 'Florida', 'Florida Atlantic', 'Georgia State', 'Louisville', 'Maryland', 'Michigan State', 'Nebraska', 'North Carolina', 'Ohio State', 'Purdue', 'Rutgers', 'South Carolina', 'Syracuse', 'Tennessee', 'Troy', 'UCF', 'Western Kentucky', 'Arkansas']",GA
18,Kenneth Phillips III,https://247sports.com/player/kenneth-phillips-iii-46056168,OLB ,0.8561," Fort Bend Bush (Richmond, TX)                  ","['Texas A&M', 'Abilene Christian', 'Air Force', 'Army', 'East Carolina', 'Florida Atlantic', 'Georgia Tech', 'Houston', 'Houston Baptist', 'Indiana', 'New Mexico State', 'Rice', 'Texas Southern', 'Wake Forest', 'SMU']",TX
19,Jordan Jefferson,https://247sports.com/player/jordan-jefferson-46038743,OC ,0.846," Navasota (Navasota, TX)                  ","['Texas A&M', 'LSU', 'Memphis']",TX
