,name,url,position,score,hometown,offers,state
0,Bijan Robinson,https://247sports.com/player/bijan-robinson-46040672,RB ,0.993," Salpointe Catholic (Tucson, AZ)    ","['Texas', 'Ohio State', 'USC', 'Alabama', 'Arizona', 'Arizona State', 'Auburn', 'Colorado', 'Illinois', 'Kansas State', 'LSU', 'Michigan', 'Nebraska', 'Notre Dame', 'Oklahoma', 'Ole Miss', 'Tennessee', 'Texas A&M', 'UCLA', 'Utah', 'Washington']",AZ
1,Hudson Card,https://247sports.com/player/hudson-card-46048769,DUAL ,0.9697," Lake Travis (Austin, TX)    ","['Texas', 'Alabama', 'Arizona', 'Arizona State', 'Arkansas', 'Auburn', 'Baylor', 'Boston College', 'Indiana', 'Michigan', 'Mississippi State', 'Northwestern', 'Ohio State', 'Oklahoma State', 'Ole Miss', 'Oregon', 'Penn State', 'SMU', 'TCU', 'Tennessee', 'Texas A&M', 'Tulsa', 'Utah']",TX
2,Quentin Johnston,https://247sports.com/player/quentin-johnston-46058426,WR ,0.967," Temple (Temple, TX)    ","['Texas', 'TCU', 'Arizona', 'Baylor', 'Duke', 'Houston', 'Nebraska', 'Notre Dame', 'Oklahoma', 'Tulsa', 'Virginia Tech']",TX
3,Ja'Quinden Jackson,https://247sports.com/player/jaquinden-jackson-87600,ATH ,0.9654," Duncanville (Duncanville, TX)    ","['Texas', 'Alabama', 'Arkansas', 'Baylor', 'Colorado', 'Connecticut', 'Florida State', 'Houston', 'Illinois', 'Jackson State', 'Kansas', 'LSU', 'Missouri', 'Nebraska', 'North Texas', 'Oklahoma', 'Oklahoma State', 'Ole Miss', 'Purdue', 'SMU', 'TCU', 'Tennessee', 'Texas A&M', 'Texas Tech', 'Utah', 'Virginia Tech']",TX
4,Vernon Broughton,https://247sports.com/player/vernon-broughton-46055073,DT ,0.9505," Cy Ridge (Houston, TX)    ","['Texas', 'Arkansas', 'LSU', 'Ohio State', 'Texas A&M', 'Alabama', 'Baylor', 'Colorado', 'Duke', 'Florida', 'Georgia', 'Grambling State', 'Houston', 'Miami', 'Nebraska', 'Oklahoma', 'Oklahoma State', 'Ole Miss', 'Prairie View A&M', 'TCU', 'Temple', 'Tennessee', 'Texas Tech', 'USC', 'Vanderbilt']",TX
5,Prince Dorbah,https://247sports.com/player/prince-dorbah-46048851,OLB ,0.9408," Highland Park (Dallas, TX)    ","['Texas', 'Alabama', 'Arkansas', 'Baylor', 'Boston College', 'Florida', 'LSU', 'Notre Dame', 'Ohio State', 'Oklahoma', 'Oklahoma State', 'Oregon', 'SMU']",TX
6,Xavion Alford,https://247sports.com/player/xavion-alford-46051445,S ,0.9401," Shadow Creek (Pearland, TX)      ","['Texas', 'Alabama', 'Arizona', 'Arizona State', 'Arkansas', 'Auburn', 'Baylor', 'Boston College', 'Colorado', 'Florida', 'Florida State', 'Georgia', 'Georgia Tech', 'Houston', 'Illinois', 'Indiana', 'Iowa State', 'Kansas', 'Kansas State', 'Louisville', 'LSU', 'Miami', 'Michigan', 'Michigan State', 'Missouri', 'Nebraska', 'Oklahoma', 'Oklahoma State', 'Oregon', 'Penn State', 'Purdue', 'Rutgers', 'SMU', 'TCU', 'Tennessee', 'Texas A&M', 'Texas Tech', 'USC', 'Utah', 'Utah State', 'Vanderbilt', 'Virginia Tech', 'Washington']",TX
7,Kitan Crawford,https://247sports.com/player/kitan-crawford-46056950,CB ,0.9315," John Tyler (Tyler, TX)    ","['Texas', 'Tennessee', 'Arkansas', 'Arkansas State', 'Baylor', 'Colorado', 'Houston', 'Illinois', 'Kansas State', 'Louisiana Tech', 'Louisiana-Monroe', 'Memphis', 'Nebraska', 'North Texas', 'Oklahoma', 'Oklahoma State', 'SMU', 'Stephen F. Austin', 'TCU', 'Texas A&M', 'Texas A&M Commerce', 'Tulane', 'Virginia Tech']",TX
8,Jerrin Thompson,https://247sports.com/player/jerrin-thompson-46050436,S ,0.9298," Lufkin (Lufkin, TX)    ","['Texas', 'Arkansas', 'Oklahoma State', 'TCU', 'Arizona', 'Baylor', 'Houston', 'LSU', 'Missouri', 'Notre Dame', 'Oklahoma', 'Penn State', 'SMU', 'Texas Tech', 'USF', 'Vanderbilt', 'Virginia Tech', 'Ole Miss']",TX
9,Jake Majors,https://247sports.com/player/jake-majors-46049148,OC ,0.9281," Prosper (Prosper, TX)    ","['Texas', 'Arizona State', 'Arkansas', 'Boston College', 'Colorado', 'Houston', 'Illinois', 'Missouri', 'Oklahoma', 'Oklahoma State', 'SMU', 'Stanford', 'USC', 'Utah', 'Virginia Tech', 'Washington', 'Baylor', 'TCU', 'Wisconsin']",TX
