,name,url,position,score,hometown,offers,state
0,Loic Fouonji,https://247sports.com/player/loic-fouonji-46052902,WR ,0.8984," Lee (Midland, TX)    ","['Texas Tech', 'Oklahoma State', 'SMU', 'Texas', 'Arizona', 'Arkansas', 'Baylor', 'Colorado', 'Indiana', 'Kansas', 'Texas A&M', 'USC']",TX
1,Ja'Lynn Polk,https://247sports.com/player/jalynn-polk-46047186,WR ,0.8809," Lufkin (Lufkin, TX)    ","['Texas Tech', 'Arkansas', 'Arizona', 'Arkansas State', 'Baylor', 'Houston', 'Illinois', 'Kansas', 'Kansas State', 'Louisiana Tech', 'Memphis', 'Minnesota', 'Nevada', 'North Texas', 'Southern Miss', 'Tulane', 'Texas']",TX
2,Tahj Brooks,https://247sports.com/player/tahj-brooks-46041969,RB ,0.8763," Manor (Manor, TX)    ","['Texas Tech', 'Vanderbilt', 'Tulsa', 'Arizona', 'Arkansas', 'Boston College', 'California', 'Colorado', 'Colorado State', 'Duke', 'Georgia Tech', 'Iowa State', 'Kansas State', 'Minnesota', 'Missouri', 'North Texas', 'Rice', 'SMU', 'TCU', 'Texas Southern', 'Utah', 'UTEP']",TX
3,Myles Price,https://247sports.com/player/myles-price-46050101,ATH ,0.8668," The Colony (The Colony, TX)    ","['Texas Tech', 'Colorado', 'Oklahoma State', 'Arizona State', 'Boise State', 'Boston College', 'Colorado State', 'Connecticut', 'Houston', 'Illinois', 'Kansas', 'Kansas State', 'North Texas', 'Ole Miss', 'Purdue', 'San Diego State', 'SMU', 'TCU', 'Toledo', 'Utah', 'Washington State']",TX
4,Philip Blidi,https://247sports.com/player/philip-blidi-46076581,SDE ,0.8661," Portales (Portales, NM)    ","['Texas Tech', 'UCLA', 'Utah', 'Abilene Christian', 'Illinois State', 'New Mexico', 'New Mexico State', 'SMU', 'Tulsa', 'UTEP']",NM
5,LB Moore,https://247sports.com/player/lb-moore-46080466,WDE ,0.8614," Tascosa (Amarillo, TX)    ","['Texas Tech', 'Air Force', 'Baylor', 'Kansas', 'Purdue', 'Stephen F. Austin', 'Tulsa']",TX
6,Quin Bright,https://247sports.com/player/quin-bright-46038470,ATH ,0.8573," Cedar Hill (Cedar Hill, TX)    ","['Texas Tech', 'Arizona', 'Arkansas', 'Baylor', 'Colorado', 'Grambling State', 'Houston', 'Iowa State', 'Kansas', 'Memphis', 'Missouri', 'Nebraska', 'Oklahoma State', 'Oregon State', 'Purdue', 'Rutgers', 'South Alabama', 'Southern Miss', 'Texas Southern', 'Utah', 'Washington State']",TX
7,JJ Sparkman,https://247sports.com/player/jj-sparkman-46056154,WR ,0.8572," Pine Tree (Longview, TX)    ","['Texas Tech', 'Missouri', 'Arkansas', 'Arkansas State', 'Iowa State', 'Kansas', 'Kansas State', 'Louisiana', 'North Texas', 'Southern Miss', 'Texas State', 'Tulane', 'UTSA']",TX
8,Donovan Smith,https://247sports.com/player/donovan-smith-46054065,ATH ,0.8539," Frenship (Wolfforth, TX)    ","['Texas Tech', 'Nevada', 'San Diego State', 'Utah State']",TX
9,Derrick Lewis,https://247sports.com/player/derrick-lewis-46080803,ILB ,0.8519," Samuel Clemens (Schertz, TX)    ","['Texas Tech', 'Boise State', 'Colorado State', 'Houston Baptist', 'Incarnate Word', 'Kansas', 'Kansas State', 'Nebraska', 'North Texas', 'Oklahoma State', 'SMU', 'Tulane', 'UTSA']",TX
