,name,url,position,score,hometown,offers,state
0,Trey Wedig,https://247sports.com/player/trey-wedig-46048454,OT ,0.9667," Kettle Moraine (Wales, WI)    ","['Wisconsin', 'Georgia', 'Iowa State', 'Michigan', 'Minnesota', 'Nebraska', 'Notre Dame', 'Syracuse', 'Tennessee', 'USC']",WI
1,Jack Nelson,https://247sports.com/player/jack-nelson-46049650,OT ,0.9347," Stoughton (Stoughton, WI)    ","['Wisconsin', 'Michigan', 'Iowa']",WI
2,Nick Herbig,https://247sports.com/player/nick-herbig-46049916,OLB ,0.9234," St Louis School (Honolulu, HI)      ","['Wisconsin', 'Boise State', 'California', 'Hawaii', 'Kansas State', 'Nebraska', 'Oklahoma', 'Oregon State', 'Stanford', 'Tennessee', 'UCLA', 'USC', 'Utah', 'Vanderbilt', 'Virginia', 'Washington']",HI
3,Cole Dakovich,https://247sports.com/player/cole-dakovich-46058662,OLB ,0.8755," Catholic Memorial (Waukesha, WI)    ","['Wisconsin', 'Iowa', 'Purdue']",WI
4,Chimere Dike,https://247sports.com/player/chimere-dike-46076679,WR ,0.8727," North (Waukesha, WI)    ","['Wisconsin', 'Iowa State', 'Iowa']",WI
5,Malik Reed,https://247sports.com/player/malik-reed-46055685,OLB ,0.8681," Chandler (Chandler, AZ)    ","['Wisconsin', 'Arizona', 'Nebraska', 'UCLA', 'Colorado', 'Indiana', 'Oregon State', 'Washington State', 'Alabama', 'Arizona State', 'Oregon', 'USC']",AZ
6,Jordan Turner,https://247sports.com/player/jordan-turner-46052690,ILB ,0.868," Farmington (Farmington, MI)    ","['Wisconsin', 'Purdue', 'Boston College', 'Central Michigan', 'Cincinnati', 'Duke', 'Eastern Michigan', 'Indiana', 'Kent State', 'Kentucky', 'Louisville', 'Maryland', 'Michigan', 'Michigan State', 'Minnesota', 'Morgan State', 'Northwestern', 'Pittsburgh', 'Rutgers', 'Syracuse', 'Washington State', 'West Virginia', 'Western Michigan']",MI
7,Aaron Witt,https://247sports.com/player/aaron-witt-46056512,SDE ,0.8656," Winona (Winona, MN)                    ","['Wisconsin', 'Iowa', 'Iowa State', 'Minnesota', 'North Dakota State', 'Northern Iowa', 'Ohio', 'Oregon State', 'Wyoming']",MN
8,Cam Large,https://247sports.com/player/cam-large-46052942,TE ,0.8647," Noble And Greenough School (Dedham, MA)      ","['Wisconsin', 'Alabama', 'Georgia', 'Ohio State', 'Boston College', 'Buffalo', 'Connecticut', 'Duke', 'East Carolina', 'Georgia Tech', 'Iowa', 'Kent State', 'Louisville', 'LSU', 'Maryland', 'Massachusetts', 'Michigan', 'Michigan State', 'Nebraska', 'Notre Dame', 'Penn State', 'Syracuse', 'TCU', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'West Virginia', 'Maine', 'New Hampshire', 'Rhode Island', 'Rutgers', 'Villanova']",MA
9,Dylan Barrett,https://247sports.com/player/dylan-barrett-46052093,OG ,0.8627," St Charles East (Saint Charles, IL)    ","['Wisconsin', 'Boston College', 'Cincinnati', 'Duke', 'Illinois', 'Iowa', 'Missouri', 'Northern Illinois', 'Northwestern', 'Purdue', 'West Virginia', 'Western Michigan']",IL
10,Ben Barten,https://247sports.com/player/ben-barten-46056009,OT ,0.8594," Stratford (Stratford, WI)  ","['Wisconsin', 'Iowa', 'South Dakota State']",WI
11,Tanor Bortolini,https://247sports.com/player/tanor-bortolini-46052092,OG ,0.8478," Kewaunee (Kewaunee, WI)  ","['Wisconsin', 'Air Force', 'Central Michigan', 'Columbia', 'Dartmouth', 'Eastern Kentucky', 'Illinois State', 'Iowa', 'Miami', 'North Dakota State', 'Northern Illinois', 'South Dakota', 'South Dakota State', 'Syracuse', 'Temple', 'Western Michigan', 'Yale', 'Nebraska']",WI
12,Max Lofy,https://247sports.com/player/max-lofy-46084627,CB ,0.8452," Pine Creek (Colorado Springs, CO)    ","['Wisconsin', 'Minnesota', 'Oklahoma State', 'Air Force', 'Arizona State', 'Army', 'Colorado State', 'Columbia', 'Harvard', 'Kansas State', 'Northern Colorado', 'Pennsylvania', 'Wyoming', 'Yale']",CO
13,Preston Zachman,https://247sports.com/player/preston-zachman-46079340,OLB ,0.8431," Southern Columbia Area HS (Catawissa, PA)    ","['Wisconsin', 'Air Force', 'Albany', 'Army', 'Colgate', 'Cornell', 'Fordham', 'Holy Cross', 'Kent State', 'Lehigh', 'New Hampshire', 'Robert Morris', 'Temple', 'Virginia Military Institute', 'Youngstown State', 'Northwestern', 'Penn State', 'Rutgers', 'Virginia Tech', 'Wake Forest']",PA
14,Cade McDonald,https://247sports.com/player/cade-mcdonald-46083934,SDE ,0.8407," Hudson (Hudson, WI)                  ","['Wisconsin', 'Illinois State', 'North Dakota', 'South Dakota']",WI
15,Isaac Smith,https://247sports.com/player/isaac-smith-46080585,WR ,0.8382," St. George's - Collierville (Collierville, TN)    ","['Wisconsin', 'Army', 'Cornell', 'Jackson State', 'Missouri', 'Tennessee State', 'UT Martin', 'Cincinnati', 'Louisville', 'Memphis', 'Mississippi State', 'Northwestern', 'Vanderbilt']",TN
16,James Thompson Jr.,https://247sports.com/player/james-thompson-jr-46056563,SDE ,0.8335," Roger Bacon (Cincinnati, OH)    ","['Wisconsin', 'Akron', 'Ball State', 'Chattanooga', 'Coastal Carolina', 'Eastern Kentucky', 'Iowa State', 'Navy', 'The Citadel', 'Austin Peay', 'Indiana', 'Michigan State', 'Northern Illinois', 'Northwestern', 'Purdue', 'Rutgers']",OH
