,name,url,position,score,hometown,offers
0,Julian Fleming,https://247sports.com/player/julian-fleming-46040058,WR ,0.9990," Southern Columbia (Catawissa, PA)                    ","['Ohio State', 'Alabama', 'Arizona State', 'Arkansas', 'Clemson', 'Connecticut', 'Florida', 'Florida State', 'Georgia', 'Louisville', 'LSU', 'Maryland', 'Miami', 'Michigan', 'Michigan State', 'Nebraska', 'Notre Dame', 'Ole Miss', 'Oregon', 'Penn State', 'Pittsburgh', 'Purdue', 'Rutgers', 'Syracuse', 'Tennessee', 'Texas A&M', 'USC', 'Virginia', 'Virginia Tech', 'West Virginia', 'Wisconsin']"
1,Paris Johnson Jr.,https://247sports.com/player/paris-johnson-jr-46042173,OT ,0.9969," Princeton (Cincinnati, OH)                    ","['Ohio State', 'Georgia', 'LSU', 'Alabama', 'Arizona State', 'Arkansas', 'Auburn', 'Bowling Green', 'California', 'Cincinnati', 'Clemson', 'Colorado', 'Duke', 'Florida', 'Florida State', 'Georgia Tech', 'Indiana', 'Iowa State', 'Kentucky', 'Louisville', 'Maryland', 'Miami', 'Miami (OH)', 'Michigan', 'Michigan State', 'Minnesota', 'Nebraska', 'North Carolina', 'Northwestern', 'Notre Dame', 'Ohio', 'Oklahoma', 'Ole Miss', 'Oregon', 'Penn State', 'Pittsburgh', 'Rutgers', 'South Carolina', 'Stanford', 'Tennessee', 'Texas', 'Texas A&M', 'Toledo', 'UCLA', 'USC', 'Vanderbilt', 'Virginia', 'Wake Forest', 'Washington']"
2,Jaxon Smith-Njigba,https://247sports.com/player/jaxon-smith-njigba-46047353,WR ,0.9827," Rockwall (Rockwall, TX)                    ","['Ohio State', 'Arizona State', 'Arkansas', 'Boston College', 'California', 'Colorado', 'Iowa State', 'Kansas', 'Memphis', 'Minnesota', 'Nebraska', 'Notre Dame', 'Oklahoma', 'Ole Miss', 'SMU', 'TCU', 'Texas A&M', 'Texas Tech', 'Vanderbilt', 'Virginia', 'Baylor', 'Houston', 'Oregon', 'Texas', 'Washington']"
3,Clark Phillips III,https://247sports.com/player/clark-phillips-iii-46038933,CB ,0.9772," La Habra (La Habra, CA)                    ","['Ohio State', 'California', 'USC', 'Utah', 'Alabama', 'Arizona', 'Arizona State', 'Auburn', 'Brigham Young', 'Clemson', 'Colorado', 'Colorado State', 'Florida', 'Fresno State', 'Georgia', 'Iowa State', 'Kansas State', 'LSU', 'Michigan', 'Nebraska', 'Nevada', 'New Mexico', 'Notre Dame', 'Oklahoma', 'Oregon', 'Oregon State', 'Penn State', 'San Jose State', 'South Carolina', 'Tennessee', 'Texas', 'Texas A&M', 'UCLA', 'Vanderbilt', 'Washington', 'Washington State', 'Boise State', 'Eastern Washington']"
4,Gee Scott Jr.,https://247sports.com/player/gee-scott-jr-46039474,WR ,0.9700," Eastside Catholic (Sammamish, WA)                    ","['Ohio State', 'Arizona', 'Arizona State', 'Boise State', 'Colorado', 'Eastern Washington', 'Florida', 'Florida State', 'LSU', 'Nebraska', 'Notre Dame', 'Oregon', 'Oregon State', 'Texas A&M', 'UCLA', 'USC', 'Utah', 'Washington', 'Washington State', 'Wisconsin']"
5,Lathan Ransom,https://247sports.com/player/lathan-ransom-46053133,S ,0.9638," Salpointe Catholic (Tucson, AZ)    ","['Ohio State', 'LSU', 'Notre Dame', 'Oklahoma', 'Texas', 'Alabama', 'Arizona', 'Arizona State', 'Auburn', 'California', 'Colorado', 'Florida', 'Georgia', 'Indiana', 'Michigan', 'Missouri', 'Nebraska', 'Ole Miss', 'Oregon', 'Stanford', 'Tennessee', 'Texas A&M', 'UCLA', 'USC', 'Utah', 'Vanderbilt', 'Virginia', 'Washington']"
6,Mookie Cooper,https://247sports.com/player/mookie-cooper-46039953,WR ,0.9628," Pattonville (Maryland Heights, MO)                    ","['Ohio State', 'USC', 'Texas', 'Alabama', 'Arkansas', 'Auburn', 'Colorado', 'Florida', 'Georgia', 'Illinois', 'Indiana', 'Iowa State', 'Kansas', 'Kansas State', 'Kentucky', 'Louisville', 'LSU', 'Miami', 'Michigan', 'Minnesota', 'Missouri', 'Nebraska', 'Oklahoma', 'Oklahoma State', 'Ole Miss', 'Penn State', 'Purdue', 'South Carolina', 'Syracuse', 'TCU', 'Tennessee', 'Texas A&M', 'Wisconsin']"
7,Luke Wypler,https://247sports.com/player/luke-wypler-46052032,OC ,0.9568," St Joseph Regional (Montvale, NJ)                    ","['Ohio State', 'Boston College', 'Duke', 'Florida', 'Kentucky', 'Maryland', 'Michigan', 'NC State', 'Nebraska', 'North Carolina', 'Notre Dame', 'Ole Miss', 'Penn State', 'Pittsburgh', 'Purdue', 'Rutgers', 'Stanford', 'Syracuse', 'Tennessee', 'Vanderbilt', 'Virginia', 'West Virginia', 'Wisconsin', 'UCLA']"
8,Cody Simon,https://247sports.com/player/cody-simon-46054099,OLB ,0.9439," St. Peters Prep (Jersey City, NJ)                  ","['Ohio State', 'Nebraska', 'Boston College', 'Duke', 'Kentucky', 'Maryland', 'Miami', 'North Carolina', 'Notre Dame', 'Penn State', 'Pittsburgh', 'Rutgers', 'Stanford', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'Wake Forest', 'Syracuse']"
9,Kourt Williams,https://247sports.com/player/kourt-williams-46049569,OLB ,0.9331," St. John Bosco (Bellflower, CA)                    ","['Ohio State', 'Oklahoma', 'Penn State', 'Tennessee', 'Texas A&M', 'Alabama', 'Arizona State', 'Colorado', 'Florida State', 'Georgia', 'Louisville', 'Miami', 'Michigan', 'Nebraska', 'Oregon', 'Oregon State', 'TCU', 'Texas', 'UCLA', 'USC', 'Utah', 'Washington', 'Washington State']"
